Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT
wildfly-12.0.0.Final,org.jboss.as.appclient.component,ApplicationClientComponentDescription,1,1,6,6,30,6,0,0,1.0,2,0
wildfly-12.0.0.Final,org.jboss.as.appclient.deployment,ActiveApplicationClientProcessor,1,0,3,3,46,11,0,0,0.6666666666666666,0,2
wildfly-12.0.0.Final,org.jboss.as.appclient.deployment,AppClientAttachments,4,4,1,0,11,1,0,0,0.0,4,0
wildfly-12.0.0.Final,org.jboss.as.appclient.deployment,AppClientJBossAllParser,2,2,1,1,11,1,0,0,0.0,2,0
wildfly-12.0.0.Final,org.jboss.as.appclient.deployment,ApplicationClientDependencyProcessor,2,2,3,3,35,7,0,0,1.0,0,0
wildfly-12.0.0.Final,org.jboss.as.appclient.deployment,ApplicationClientManifestProcessor,0,0,2,2,41,7,0,0,-1.0,0,3
wildfly-12.0.0.Final,org.jboss.as.appclient.deployment,ApplicationClientParsingDeploymentProcessor,2,0,5,2,112,15,0,0,0.4,0,3
wildfly-12.0.0.Final,org.jboss.as.appclient.deployment,ApplicationClientStartProcessor,1,0,3,3,61,9,0,0,0.6666666666666666,0,5
wildfly-12.0.0.Final,org.jboss.as.appclient.deployment,ApplicationClientStructureProcessor,1,0,4,3,58,10,0,0,0.5,1,2
wildfly-12.0.0.Final,org.jboss.as.appclient.logging,AppClientLogger,1,0,28,0,157,28,0,0,-1.0,9,1
wildfly-12.0.0.Final,org.jboss.as.appclient.service,ApplicationClientDeploymentService,6,1,11,7,73,13,0,0,0.45454545454545453,2,1
wildfly-12.0.0.Final,org.jboss.as.appclient.service,DeployTask,0,0,3,0,24,4,0,0,-1.0,1,0
wildfly-12.0.0.Final,org.jboss.as.appclient.service,DeploymentTask,1,0,2,1,18,3,0,0,0.0,0,0
wildfly-12.0.0.Final,org.jboss.as.appclient.service,ApplicationClientStartService,10,1,8,8,96,17,0,0,0.375,1,0
wildfly-12.0.0.Final,org.jboss.as.appclient.service,DefaultApplicationClientCallbackHandler,2,1,4,3,69,15,0,0,0.75,0,0
wildfly-12.0.0.Final,org.jboss.as.appclient.service,RealmCallbackWrapper,1,0,2,2,21,5,0,0,0.0,0,0
wildfly-12.0.0.Final,org.jboss.as.appclient.subsystem,AppClientExtension,5,2,5,5,39,5,0,0,0.6,4,4
wildfly-12.0.0.Final,org.jboss.as.appclient.subsystem,ApplicationClientSubsystemParser,0,0,2,2,17,2,0,0,-1.0,1,1
wildfly-12.0.0.Final,org.jboss.as.appclient.subsystem,AppClientServerConfiguration,0,0,4,1,45,10,0,0,-1.0,2,3
wildfly-12.0.0.Final,org.jboss.as.appclient.subsystem,AppClientSubsystemAdd,5,2,8,3,73,13,0,0,0.75,1,4
wildfly-12.0.0.Final,org.jboss.as.appclient.subsystem,ConstantService,1,0,4,3,13,4,0,0,0.75,0,0
wildfly-12.0.0.Final,org.jboss.as.appclient.subsystem,AppClientSubsystemResourceDefinition,7,6,2,1,21,3,0,0,1.0,3,4
wildfly-12.0.0.Final,org.jboss.as.appclient.subsystem,ApplicationClientConfigurationPersister,5,0,11,11,61,11,0,0,0.9090909090909091,1,1
wildfly-12.0.0.Final,org.jboss.as.appclient.subsystem,CommandLineArgumentUsageImpl,0,0,2,2,25,2,0,0,-1.0,2,2
wildfly-12.0.0.Final,org.jboss.as.appclient.subsystem,Constants,6,6,0,0,11,0,0,0,-1.0,4,0
wildfly-12.0.0.Final,org.jboss.as.appclient.subsystem,Main,6,0,9,3,271,46,0,0,0.2222222222222222,1,6
wildfly-12.0.0.Final,org.jboss.as.appclient.subsystem,ParsedOptions,4,0,0,0,6,0,0,0,-1.0,1,0
wildfly-12.0.0.Final,org.jboss.as.appclient.subsystem.parsing,AppClientXml,1,0,8,2,297,56,0,0,0.25,1,1
wildfly-12.0.0.Final,org.jboss.as.appclient.subsystem.parsing,AppClientSocketBindingsXml,0,0,1,0,5,1,0,0,-1.0,0,0
wildfly-12.0.0.Final,org.wildfly.extension.batch.jberet,AttributeMarshallers,2,2,2,2,25,4,0,0,1.0,1,0
wildfly-12.0.0.Final,org.wildfly.extension.batch.jberet,AttributeParsers,1,0,5,2,63,9,0,0,0.4,3,1
wildfly-12.0.0.Final,org.wildfly.extension.batch.jberet,BatchConfiguration,0,0,4,0,26,4,1,0,-1.0,4,0
wildfly-12.0.0.Final,org.wildfly.extension.batch.jberet,BatchConfigurationService,4,0,11,7,41,11,0,1,0.6363636363636364,2,0
wildfly-12.0.0.Final,org.wildfly.extension.batch.jberet,BatchResourceDescriptionResolver,2,0,3,3,22,4,0,0,0.0,6,0
wildfly-12.0.0.Final,org.wildfly.extension.batch.jberet,BatchServiceNames,1,1,6,6,59,6,0,0,1.0,4,0
wildfly-12.0.0.Final,org.wildfly.extension.batch.jberet,BatchSubsystemDefinition,10,2,11,5,90,12,0,0,0.45454545454545453,12,11
wildfly-12.0.0.Final,org.wildfly.extension.batch.jberet,BatchSubsystemAdd,2,0,3,1,37,4,0,0,0.0,2,8
wildfly-12.0.0.Final,org.wildfly.extension.batch.jberet,BatchSubsystemExtension,4,0,2,2,23,3,0,0,1.0,0,2
wildfly-12.0.0.Final,org.wildfly.extension.batch.jberet,BatchSubsystemExtensionTransformerRegistration,1,0,2,2,14,2,0,0,1.0,0,1
wildfly-12.0.0.Final,org.wildfly.extension.batch.jberet,BatchSubsystemParser_1_0,2,1,4,2,85,15,1,0,0.5,1,6
wildfly-12.0.0.Final,org.wildfly.extension.batch.jberet,BatchSubsystemParser_2_0,1,1,1,1,9,1,0,1,0.0,0,1
wildfly-12.0.0.Final,org.wildfly.extension.batch.jberet,BatchSubsystemWriter,0,0,2,1,50,10,0,0,-1.0,1,5
wildfly-12.0.0.Final,org.wildfly.extension.batch.jberet,DefaultBatchEnvironment,1,1,8,7,30,8,0,0,1.0,3,2
wildfly-12.0.0.Final,org.wildfly.extension.batch.jberet,AbstractBatchTestCase,0,0,7,1,39,9,3,0,-1.0,1,2
wildfly-12.0.0.Final,org.wildfly.extension.batch.jberet,JBeretSubsystemParsingTestCase,0,0,12,8,60,17,0,1,-1.0,0,1
wildfly-12.0.0.Final,org.wildfly.extension.batch.jberet,SubsystemOperationsTestCase,0,0,10,6,77,10,0,1,-1.0,0,2
wildfly-12.0.0.Final,org.wildfly.extension.batch.jberet,SubsystemTransformerTestCase,0,0,5,3,38,5,0,1,-1.0,0,1
wildfly-12.0.0.Final,org.wildfly.extension.batch.jberet.deployment,ArtifactFactoryService,5,0,12,8,103,20,0,1,0.16666666666666666,2,3
wildfly-12.0.0.Final,org.wildfly.extension.batch.jberet.deployment,Holder,2,0,2,0,11,2,0,0,0.0,1,0
