Kind,Name,CountClassCoupled,CountLineCode,Cyclomatic,MaxInheritanceTree,PercentLackOfCohesion,SumCyclomatic
File,"Cab.java",,188,,,,34
File,"CallTarget.java",,64,,,,11
File,"CallTarget.java",,79,,,,19
File,"Case.java",,75,,,,22
File,"ChainReaderHelper.java",,130,,,,27
File,"ChainableReader.java",,5,,,,0
File,"ChangeLogParser.java",,37,,,,1
File,"ChangeLogTask.java",,195,,,,37
File,"ChangeLogWriter.java",,53,,,,5
File,"Checksum.java",,265,,,,54
File,"ChecksumTest.java",,43,,,,8
File,"Chmod.java",,109,,,,23
File,"CircularDependencyChecker.java",,33,,,,7
File,"CircularDependencyException.java",,22,,,,6
File,"ClassCPInfo.java",,24,,,,5
File,"ClassConstants.java",,73,,,,15
File,"ClassFile.java",,85,,,,14
File,"ClassFile.java",,48,,,,7
File,"ClassFileIterator.java",,4,,,,0
File,"ClassFileSetTest.java",,80,,,,10
File,"ClassFileTest.java",,55,,,,10
File,"ClassFileUtils.java",,9,,,,2
File,"ClassIntrospector.java",,71,,,,11
File,"ClassLocator.java",,51,,,,10
File,"ClassNameHandler.java",,23,,,,5
File,"ClassNameReader.java",,71,,,,16
File,"ClassPathLoader.java",,86,,,,15
File,"ClassPathLoaderTest.java",,16,,,,2
File,"ClassfileSet.java",,68,,,,14
File,"ClasspathTestCollector.java",,94,,,,17
File,"ClearCase.java",,45,,,,7
File,"ClientElement.java",,137,,,,21
File,"CmdResult.java",,28,,,,6
File,"CollectionUtils.java",,46,,,,12
File,"CollectionUtilsTest.java",,73,,,,3
File,"Commandline.java",,271,,,,68
File,"Commandline.java",,253,,,,45
File,"CommandlineJava.java",,209,,,,53
File,"CommandlineJavaTest.java",,80,,,,6
File,"CommandlineTest.java",,96,,,,7
File,"CommonsLoggingListener.java",,107,,,,26
File,"Compatibility.java",,13,,,,2
File,"CompilerAdapter.java",,7,,,,0
File,"CompilerAdapterFactory.java",,96,,,,20
File,"ComponentLibrary.java",,12,,,,0
File,"ComponentManager.java",,522,,,,90
File,"ComponentService.java",,24,,,,0
File,"CompoundEnumeration.java",,25,,,,6
File,"Concat.java",,267,,,,54
File,"ConcatTest.java",,54,,,,12
File,"Condition.java",,5,,,,0
File,"ConditionBase.java",,31,,,,17
File,"ConditionTask.java",,33,,,,7
File,"ConditionTest.java",,148,,,,41
File,"ConfigException.java",,21,,,,6
File,"ConstantCPInfo.java",,13,,,,3
File,"ConstantPool.java",,158,,,,39
File,"ConstantPoolEntry.java",,82,,,,17
File,"Constants.java",,5,,,,0
File,"Contains.java",,24,,,,6
File,"ContainsSelector.java",,95,,,,20
File,"ContainsSelectorTest.java",,66,,,,6
File,"ContainsTest.java",,15,,,,2
File,"ContentGuesser.java",,14,,,,3
File,"Continuus.java",,49,,,,8
File,"Converter.java",,8,,,,0
File,"Copy.java",,324,,,,69
File,"CopyTest.java",,78,,,,15
File,"Copydir.java",,73,,,,14
File,"CopydirTest.java",,36,,,,10
File,"Copyfile.java",,52,,,,11
File,"CopyfileTest.java",,38,,,,10
File,"CoreDataService.java",,89,,,,17
File,"CoreEventService.java",,18,,,,3
File,"CoreExecService.java",,97,,,,17
File,"CoreFileService.java",,17,,,,2
File,"CoreInputService.java",,12,,,,2
File,"CovMerge.java",,120,,,,22
