Project Name,Package Name,Type Name,Method Name,Code Smell
wildfly-16.0.0.Final,org.jboss.as.jacorb,JacORBSubsystemParser,parseORBConfig_1_0,Missing default
wildfly-16.0.0.Final,org.jboss.as.jacorb,JacORBSubsystemParser,parseORBConfig,Complex Method
wildfly-16.0.0.Final,org.jboss.as.jacorb,JacORBSubsystemParser,parseORBConfig,Long Statement
wildfly-16.0.0.Final,org.jboss.as.jacorb,JacORBSubsystemParser,parseORBConfig,Missing default
wildfly-16.0.0.Final,org.jboss.as.jacorb,JacORBSubsystemParser,parseORBConnectionConfig,Long Statement
wildfly-16.0.0.Final,org.jboss.as.jacorb,JacORBSubsystemParser,parseORBInitializersConfig_1_0,Long Statement
wildfly-16.0.0.Final,org.jboss.as.jacorb,JacORBSubsystemParser,parsePOAConfig,Long Statement
wildfly-16.0.0.Final,org.jboss.as.jacorb,JacORBSubsystemParser,parsePOAConfig,Missing default
wildfly-16.0.0.Final,org.jboss.as.jacorb,JacORBSubsystemParser,parseInteropConfig,Long Statement
wildfly-16.0.0.Final,org.jboss.as.jacorb,JacORBSubsystemParser,parseSecurityConfig_1_0,Complex Method
wildfly-16.0.0.Final,org.jboss.as.jacorb,JacORBSubsystemParser,parseSecurityConfig_1_0,Long Statement
wildfly-16.0.0.Final,org.jboss.as.jacorb,JacORBSubsystemParser,parseSecurityConfig_1_0,Long Statement
wildfly-16.0.0.Final,org.jboss.as.jacorb,JacORBSubsystemParser,parseSecurityConfig_1_0,Missing default
wildfly-16.0.0.Final,org.jboss.as.jacorb,JacORBSubsystemParser,parseSecurityConfig,Long Statement
wildfly-16.0.0.Final,org.jboss.as.jacorb,JacORBSubsystemParser,parsePropertiesConfig,Missing default
wildfly-16.0.0.Final,org.jboss.as.jacorb,JacORBSubsystemParser,parseGenericProperty_1_0,Missing default
wildfly-16.0.0.Final,org.jboss.as.jacorb,JacORBSubsystemParser,parseGenericProperty,Missing default
wildfly-16.0.0.Final,org.jboss.as.jacorb,JacORBSubsystemParser,parseAttributes,Long Statement
wildfly-16.0.0.Final,org.jboss.as.jacorb,JacORBSubsystemParser,writeContent,Long Statement
wildfly-16.0.0.Final,org.jboss.as.jacorb,JacORBSubsystemResource,JacORBSubsystemResource,Long Statement
wildfly-16.0.0.Final,org.jboss.as.jacorb,JacORBSubsystemResource,registerAttributes,Long Statement
wildfly-16.0.0.Final,org.jboss.as.jacorb,JacORBSubsystemResource,validateUpdatedModel,Long Statement
wildfly-16.0.0.Final,org.jboss.as.jacorb,JacORBSubsystemResource,finishModelStage,Long Parameter List
wildfly-16.0.0.Final,org.jboss.as.jacorb,JacORBSubsystemResource,finishModelStage,Long Statement
wildfly-16.0.0.Final,org.jboss.as.jacorb,JacorbReloadRequiredWriteAttributeHandler,validateUpdatedModel,Long Statement
wildfly-16.0.0.Final,org.jboss.as.jacorb,JacorbReloadRequiredWriteAttributeHandler,finishModelStage,Long Parameter List
wildfly-16.0.0.Final,org.jboss.as.jacorb,JacorbReloadRequiredWriteAttributeHandler,finishModelStage,Long Statement
wildfly-16.0.0.Final,org.jboss.as.jacorb,MigrateOperation,registerOperation,Long Statement
wildfly-16.0.0.Final,org.jboss.as.jacorb,MigrateOperation,registerOperation,Long Statement
wildfly-16.0.0.Final,org.jboss.as.jacorb,MigrateOperation,execute,Complex Method
wildfly-16.0.0.Final,org.jboss.as.jacorb,MigrateOperation,execute,Long Statement
wildfly-16.0.0.Final,org.jboss.as.jacorb,MigrateOperation,execute,Complex Method
wildfly-16.0.0.Final,org.jboss.as.jacorb,MigrateOperation,execute,Long Statement
wildfly-16.0.0.Final,org.jboss.as.jacorb,MigrateOperation,checkPropertiesWithExpression,Long Identifier
wildfly-16.0.0.Final,org.jboss.as.jacorb,MigrateOperation,removeJacorbSubsystem,Long Identifier
wildfly-16.0.0.Final,org.jboss.as.jacorb,TransformUtils,validateDeprecatedProperites,Long Statement
wildfly-16.0.0.Final,org.jboss.as.jacorb,TransformUtils,transformModel,Complex Method
wildfly-16.0.0.Final,org.jboss.as.jacorb,TransformUtils,transformModel,Long Statement
wildfly-16.0.0.Final,org.jboss.as.jacorb,TransformUtils,transformModel,Long Statement
wildfly-16.0.0.Final,org.jboss.as.jacorb,TransformUtils,transformModel,Magic Number
wildfly-16.0.0.Final,org.jboss.as.jacorb,TransformUtils,transformModel,Missing default
wildfly-16.0.0.Final,org.jboss.as.jacorb,TransformUtils,transformIorSettings,Long Statement
wildfly-16.0.0.Final,org.jboss.as.jacorb,JacORBMigrateTestCase,migrateTest,Long Statement
wildfly-16.0.0.Final,org.jboss.as.jacorb,JacORBMigrateTestCase,initializeExtraSubystemsAndModel,Long Statement
wildfly-16.0.0.Final,org.jboss.as.jacorb,JacORBMigrateTestCase,initializeExtraSubystemsAndModel,Long Statement
wildfly-16.0.0.Final,org.jboss.as.jacorb,JacORBMigrateTestCase,initializeExtraSubystemsAndModel,Long Statement
wildfly-16.0.0.Final,org.jboss.as.jacorb,JacORBMigrateTestCase,initializeExtraSubystemsAndModel,Long Statement
wildfly-16.0.0.Final,org.jboss.as.jacorb,JacORBMigrateTestCase,initializeExtraSubystemsAndModel,Long Statement
wildfly-16.0.0.Final,org.jboss.as.jacorb,JacORBMigrateTestCase,execute,Long Statement
wildfly-16.0.0.Final,org.jboss.as.jacorb,NewSubsystemAdditionalInitialization,initializeExtraSubystemsAndModel,Long Statement
wildfly-16.0.0.Final,org.jboss.as.jacorb,NewSubsystemAdditionalInitialization,initializeExtraSubystemsAndModel,Long Statement
wildfly-16.0.0.Final,org.jboss.as.jacorb,NewSubsystemAdditionalInitialization,initializeExtraSubystemsAndModel,Long Statement
wildfly-16.0.0.Final,org.jboss.as.jacorb,NewSubsystemAdditionalInitialization,initializeExtraSubystemsAndModel,Long Statement
wildfly-16.0.0.Final,org.jboss.as.jacorb,NewSubsystemAdditionalInitialization,initializeExtraSubystemsAndModel,Long Statement
wildfly-16.0.0.Final,org.jboss.as.jacorb,NewSubsystemAdditionalInitialization,execute,Long Statement
wildfly-16.0.0.Final,org.jboss.as.jacorb,JacORBSubsystemTestCase,testParseEmptySubsystem,Long Statement
wildfly-16.0.0.Final,org.jboss.as.jacorb,JacORBSubsystemTestCase,testParseSubsystemWithBadChild,Empty catch clause
wildfly-16.0.0.Final,org.jboss.as.jacorb,JacORBSubsystemTestCase,testParseSubsystemWithBadChild,Empty catch clause
wildfly-16.0.0.Final,org.jboss.as.jacorb,JacORBSubsystemTestCase,testParseSubsystemWithBadChild,Long Statement
wildfly-16.0.0.Final,org.jboss.as.jacorb,JacORBSubsystemTestCase,testParseSubsystemWithBadChild,Long Statement
wildfly-16.0.0.Final,org.jboss.as.jacorb,JacORBSubsystemTestCase,testParseSubsystemWithBadAttribute,Empty catch clause
wildfly-16.0.0.Final,org.jboss.as.jacorb,JacORBSubsystemTestCase,testParseSubsystemWithBadAttribute,Long Statement
wildfly-16.0.0.Final,org.jboss.as.jacorb,JacORBSubsystemTestCase,testParseEmptySubsystem_1_0,Long Statement
wildfly-16.0.0.Final,org.jboss.as.jacorb,JacORBSubsystemTestCase,testParseSubsystemWithBadInitializer_1_0,Empty catch clause
wildfly-16.0.0.Final,org.jboss.as.jacorb,JacORBSubsystemTestCase,testParseSubsystemWithBadInitializer_1_0,Long Statement
wildfly-16.0.0.Final,org.jboss.as.jacorb,JacORBTransformersTestCase,testTransformersEAP640,Magic Number
wildfly-16.0.0.Final,org.jboss.as.jacorb,JacORBTransformersTestCase,testTransformers,Long Statement
wildfly-16.0.0.Final,org.jboss.as.jacorb,JacORBTransformersTestCase,testTransformers,Long Statement
wildfly-16.0.0.Final,org.jboss.as.jacorb,JacORBTransformersTestCase,testTransformers,Long Statement
wildfly-16.0.0.Final,org.jboss.as.jacorb,JacORBTransformersTestCase,fixModel,Long Statement
wildfly-16.0.0.Final,org.jboss.as.jacorb,JacORBTransformersTestCase,testTransformersSecurityIdentityEAP640,Magic Number
wildfly-16.0.0.Final,org.jboss.as.jacorb,JacORBTransformersTestCase,testTransformersSecurityIdentity,Long Statement
wildfly-16.0.0.Final,org.jboss.as.jacorb,JacORBTransformersTestCase,testTransformersSecurityIdentity,Long Statement
wildfly-16.0.0.Final,org.jboss.as.jacorb,JacORBTransformersTestCase,testTransformersSecurityIdentity,Long Statement
wildfly-16.0.0.Final,org.jboss.as.jacorb,JacORBTransformersTestCase,testTransformersSecurityClientEAP640,Magic Number
wildfly-16.0.0.Final,org.jboss.as.jacorb,JacORBTransformersTestCase,testTransformersSecurityClient,Long Statement
wildfly-16.0.0.Final,org.jboss.as.jacorb,JacORBTransformersTestCase,testTransformersSecurityClient,Long Statement
wildfly-16.0.0.Final,org.jboss.as.jacorb,TransformUtilsTestCase,testTransformation,Magic Number
wildfly-16.0.0.Final,org.jboss.as.jacorb,TransformUtilsTestCase,testRejectedAttribute,Magic Number
wildfly-16.0.0.Final,org.jboss.as.jacorb.logging,JacORBLogger,invalidInitializerConfig,Magic Number
wildfly-16.0.0.Final,org.jboss.as.jacorb.logging,JacORBLogger,invalidSSLConfig,Magic Number
wildfly-16.0.0.Final,org.jboss.as.jacorb.logging,JacORBLogger,cannotEmulateProperties,Magic Number
wildfly-16.0.0.Final,org.jboss.as.jacorb.logging,JacORBLogger,jacorbEmulationWarning,Magic Number
wildfly-16.0.0.Final,org.jboss.as.jacorb.logging,JacORBLogger,cannotEmulatePropertiesWarning,Magic Number
wildfly-16.0.0.Final,org.jboss.as.jacorb.logging,JacORBLogger,migrationFailed,Magic Number
