,cbo,noc,cyclomatic,dit,lcom,rfc,wmc,designDefect
39535,0,0,1,0,0,0,1,0
58223,0,0,1,0,0,0,1,0
9000,0,0,1,0,0,0,1,0
64892,0,0,1,0,0,0,1,0
10523,0,0,1,0,0,0,1,0
35004,0,1,0,0,0,2,0,0
9155,0,0,0,0,0,0,0,0
8340,0,0,0,0,0,0,45,0
2354,0,0,0,0,0,0,0,0
85971,1,0,0,1,25,4,4,0
10150,0,0,1,0,0,0,1,0
2286,6,0,0,2,0,12,1,0
15800,0,0,1,0,0,0,1,0
35511,0,0,3,0,0,0,3,0
11278,5,0,0,2,0,5,1,0
68707,0,0,2,0,0,0,2,0
32367,0,0,1,0,0,0,1,0
3121,0,0,0,0,0,0,4,0
7005,0,0,1,0,0,0,1,0
56109,0,0,0,0,0,0,0,0
37653,0,0,0,3,0,0,0,0
3172,0,0,0,0,0,0,9,0
6608,0,0,1,0,0,0,1,0
26417,0,0,1,0,0,0,1,0
14397,0,0,1,0,0,0,1,0
21759,0,0,1,0,0,0,1,0
13029,0,0,1,0,0,0,1,0
6161,0,0,0,0,0,0,0,0
57306,0,0,2,0,0,0,2,0
64687,0,0,1,0,0,0,1,0
57080,0,0,0,0,0,0,0,0
7557,0,0,0,0,0,0,0,0
49027,0,0,1,0,0,0,1,0
40982,0,0,0,2,0,0,0,0
2601,0,0,0,0,0,0,2,0
49082,0,0,1,0,0,0,1,0
743,0,0,0,0,0,0,9,0
48549,0,0,13,0,0,0,13,0
34276,0,2,0,0,0,1,0,0
9672,0,0,0,0,0,0,0,0
50902,0,0,1,0,0,0,1,0
11822,0,0,1,0,0,0,1,0
66256,0,0,1,0,0,0,1,0
17648,0,0,2,0,0,0,2,0
18722,0,0,3,0,0,0,3,0
52422,0,0,1,0,0,0,1,0
58132,0,0,1,0,0,0,1,0
38999,1,0,0,2,0,7,1,0
39976,0,0,1,0,0,0,1,0
255,0,0,0,0,0,0,11,0
29061,0,0,3,0,0,0,3,0
8817,0,0,1,0,0,0,1,0
19459,0,0,1,0,0,0,1,0
57775,0,0,1,0,0,0,1,0
7659,0,0,0,2,0,2,1,0
71028,0,0,1,0,0,0,1,0
53458,0,0,2,0,0,0,2,0
13244,0,0,3,0,0,0,3,0
1359,0,0,0,0,0,0,0,0
11211,0,0,0,0,0,0,0,0
86504,0,0,2,0,0,0,2,0
36628,0,0,1,0,0,0,1,0
10964,0,0,1,0,0,0,1,0
2908,0,0,1,0,0,0,1,0
29995,0,0,0,0,0,0,8,0
20770,0,0,1,0,0,0,1,0
58158,0,0,0,0,0,0,0,0
72413,0,0,2,0,0,0,2,0
25393,0,0,2,0,0,0,2,0
74794,0,0,1,0,0,0,1,0
9773,0,0,1,0,0,0,1,0
37437,0,0,2,0,0,0,2,0
45724,0,0,0,2,0,1,3,0
9821,0,0,2,0,0,0,2,0
3518,0,0,1,0,0,0,1,0
47452,0,0,1,0,0,0,1,0
66491,0,0,1,0,0,0,1,0
58954,0,0,1,0,0,0,1,0
61002,0,0,2,0,0,0,2,0
79502,0,0,2,0,0,0,2,0
7106,0,0,0,2,0,0,0,0
86483,0,0,1,0,0,0,1,0
65889,0,0,1,0,0,0,1,0
3796,0,0,0,0,0,0,0,0
17838,0,0,1,0,0,0,1,0
693,0,0,0,0,0,0,26,0
18133,0,0,1,0,0,0,1,0
18002,3,0,0,1,0,1,1,0
25429,0,0,0,1,33,3,3,0
15832,0,0,1,0,0,0,1,0
5367,0,0,0,0,0,0,1,0
5066,0,0,1,0,0,0,1,0
74312,0,0,1,0,0,0,1,0
6057,0,0,1,0,0,0,1,0
56531,0,0,1,0,0,0,1,0
14268,0,0,1,0,0,0,1,0
71191,0,0,1,0,0,0,1,0
63053,1,0,0,2,0,1,1,0
57773,0,0,3,0,0,0,3,0
7903,0,0,1,0,0,0,1,0
32033,0,0,2,0,0,0,2,0
8136,0,0,0,0,0,0,4,0
40356,0,0,1,0,0,0,1,0
4696,1,0,0,1,50,5,6,0
83742,1,0,0,1,0,2,2,0
34283,0,0,1,0,0,0,1,0
6734,0,0,0,1,0,0,0,0
35853,0,0,1,0,0,0,1,0
63918,0,0,1,0,0,0,1,0
6845,3,0,0,1,0,1,1,0
9361,0,0,1,0,0,0,1,0
26219,0,0,1,0,0,0,1,0
45189,0,0,2,0,0,0,2,0
35490,1,1,0,1,0,4,0,0
2669,0,0,1,0,0,0,1,0
20760,0,0,1,0,0,0,1,0
32106,0,0,1,0,0,0,1,0
2092,2,0,0,1,0,1,1,0
15220,0,0,2,0,0,0,2,0
8449,0,0,0,0,0,0,12,0
38423,0,1,0,1,0,3,3,0
16352,0,0,1,0,0,0,1,0
67161,0,0,0,0,0,0,0,0
74909,0,0,1,0,0,0,1,0
11776,0,0,1,0,0,0,1,0
8678,0,0,0,0,0,0,13,0
49558,0,0,2,0,0,0,2,0
69479,0,0,0,1,25,4,6,0
33418,0,0,1,0,0,0,1,0
4939,0,0,0,0,0,0,3,0
8338,0,0,2,0,0,0,2,0
36758,0,0,1,0,0,0,1,0
13355,0,0,0,0,0,0,0,0
21497,8,0,0,1,0,8,9,0
59161,0,0,1,0,0,0,1,0
26346,0,0,1,0,0,0,1,0
33221,0,0,1,0,0,0,1,0
34645,0,0,5,0,0,0,5,0
18001,0,0,3,0,0,0,3,0
996,0,0,0,0,0,0,4,0
6661,0,0,0,0,0,0,4,0
46317,0,0,1,0,0,0,1,0
40718,0,0,0,0,0,0,0,0
54893,10,0,0,1,0,2,12,0
43548,0,0,3,0,0,0,3,0
5058,0,0,1,0,0,0,1,0
55183,2,21,0,0,0,1,0,0
6948,0,0,1,0,0,0,1,0
65650,0,0,1,0,0,0,1,0
62500,0,0,1,0,0,0,1,0
9078,0,0,2,0,0,0,2,0
8191,2,0,0,2,0,1,1,0
7649,0,0,1,0,0,0,1,0
45745,0,0,2,0,0,0,2,0
70176,0,0,0,3,50,18,2,0
32195,0,0,1,0,0,0,1,0
47312,0,0,1,0,0,0,1,0
2255,0,0,0,1,0,1,1,0
8801,0,0,0,0,0,0,4,0
45968,0,0,6,0,0,0,6,0
7209,0,0,0,0,0,0,2,0
42378,0,0,1,0,0,0,1,0
69322,0,0,1,0,0,0,1,0
45126,0,0,0,1,0,0,0,0
36799,0,1,0,0,0,1,0,0
70638,0,0,0,1,19,5,5,0
29758,0,0,1,0,0,0,1,0
13109,0,0,1,0,0,0,1,0
75925,0,0,0,0,0,0,0,0
53016,0,0,0,0,0,0,0,0
70743,0,0,1,0,0,0,1,0
38255,0,0,0,0,0,0,18,0
63353,0,0,5,0,0,0,5,0
15936,0,0,13,0,0,0,13,0
63024,0,0,1,0,0,0,1,0
2982,0,0,0,0,0,0,2,0
12701,0,0,1,0,0,0,1,0
79330,0,0,2,0,0,0,2,0
3230,0,0,1,0,0,0,1,0
44194,0,0,1,0,0,0,1,0
6891,0,0,0,0,0,0,3,0
1900,0,0,3,0,0,0,3,0
7608,0,0,0,0,0,0,2,0
52430,0,0,0,1,33,3,3,0
1447,0,0,0,0,0,0,3,0
49958,0,0,1,0,0,0,1,0
32790,0,0,3,0,0,0,3,0
50313,0,0,0,0,0,0,0,0
64525,0,0,1,0,0,0,1,0
57503,0,0,1,0,0,0,1,0
45627,0,0,2,0,0,0,2,0
61962,0,0,1,0,0,0,1,0
17877,0,0,2,0,0,0,2,0
40501,0,0,4,0,0,0,4,0
31615,0,0,1,0,0,0,1,0
6126,0,0,1,0,0,0,1,0
25896,0,0,2,0,0,0,2,0
717,0,0,0,0,0,0,6,0
13790,0,0,0,0,0,0,0,0
44582,0,0,1,0,0,0,1,0
60667,0,0,1,0,0,0,1,0
1170,0,0,0,0,0,0,1,0
3057,0,0,1,0,0,0,1,0
49710,0,0,1,0,0,0,1,0
12571,0,0,4,0,0,0,4,0
12888,0,0,1,0,0,0,1,0
7290,0,0,1,0,0,0,1,0
41632,0,0,1,0,0,0,1,0
68376,0,0,0,1,57,13,17,0
8045,0,0,0,0,0,0,0,0
49066,0,0,1,0,0,0,1,0
70547,2,0,0,1,55,3,3,0
70802,0,0,5,0,0,0,5,0
3128,0,0,2,0,0,0,2,0
9898,0,0,2,0,0,0,2,0
33401,0,0,1,0,0,0,1,0
74191,0,0,1,0,0,0,1,0
24196,0,0,2,0,0,0,2,0
38139,0,0,1,0,0,0,1,0
55323,0,0,0,0,0,0,0,0
71126,0,0,1,0,0,0,1,0
3776,0,0,0,0,0,0,9,0
67716,0,0,2,0,0,0,2,0
7876,0,0,0,0,0,0,0,0
33258,0,0,4,0,0,0,4,0
10574,0,0,2,0,0,0,2,0
20826,0,0,2,0,0,0,2,0
688,0,0,0,0,0,0,6,0
2118,0,0,0,0,0,0,52,0
3156,0,0,0,0,0,0,35,0
8707,0,0,2,0,0,0,2,0
42706,0,0,2,0,0,0,2,0
30922,0,0,1,0,0,0,1,0
43350,0,0,0,0,0,0,0,0
30374,0,0,3,0,0,0,3,0
62678,0,0,0,1,0,0,0,0
11951,0,0,1,0,0,0,1,0
20787,0,0,1,0,0,0,1,0
4676,0,0,2,0,0,0,2,0
36516,0,0,1,0,0,0,1,0
5494,0,0,0,0,0,0,3,0
53553,0,0,0,0,0,0,0,0
24032,0,0,1,0,0,0,1,0
66206,0,0,1,0,0,0,1,0
49931,0,0,0,1,0,0,0,0
13822,0,0,1,0,0,0,1,0
10333,0,0,1,0,0,0,1,0
87,0,0,0,0,0,0,6,0
65744,0,0,1,0,0,0,1,0
38254,0,0,1,0,0,0,1,0
2741,0,0,0,1,0,0,0,0
33570,0,0,1,0,0,0,1,0
78227,0,0,1,0,0,0,1,0
13274,0,0,1,0,0,0,1,0
30734,0,0,1,0,0,0,1,0
63,0,0,0,0,0,0,28,0
34821,0,0,0,1,0,0,0,0
51884,0,0,2,0,0,0,2,0
59436,0,0,1,0,0,0,1,0
66730,0,0,5,0,0,0,5,0
73023,0,0,5,0,0,0,5,0
45299,0,0,2,0,0,0,2,0
45801,0,0,0,0,0,0,0,0
1852,0,0,0,0,0,0,1,0
4078,0,0,1,0,0,0,1,0
44106,0,0,0,1,0,2,2,0
34090,0,0,0,0,0,0,0,0
65715,0,0,0,0,0,0,0,0
11617,0,0,1,0,0,0,1,0
34206,0,0,1,0,0,0,1,0
8739,0,0,1,0,0,0,1,0
13228,0,0,1,0,0,0,1,0
48182,0,0,4,0,0,0,4,0
42382,0,0,4,0,0,0,4,0
689,0,0,0,0,0,0,0,0
45504,0,0,1,0,0,0,1,0
53505,0,0,3,0,0,0,3,0
53391,0,0,4,0,0,0,4,0
60145,0,0,5,0,0,0,5,0
2171,0,0,0,0,0,0,18,0
3358,0,0,1,0,0,0,1,0
65031,0,0,1,0,0,0,1,0
82377,0,0,0,0,0,0,0,0
7289,0,0,1,0,0,0,1,0
63139,0,0,1,0,0,0,1,0
10178,0,0,1,0,0,0,1,0
14608,0,0,1,0,0,0,1,0
5351,0,0,3,0,0,0,3,0
6028,0,0,0,0,0,0,6,0
1094,0,0,1,0,0,0,1,0
66846,0,0,0,0,0,0,0,0
63096,0,0,5,0,0,0,5,0
36998,0,0,1,0,0,0,1,0
324,0,0,0,0,0,0,5,0
33455,0,0,1,0,0,0,1,0
23429,0,0,1,0,0,0,1,0
26519,0,0,1,0,0,0,1,0
66467,0,0,2,0,0,0,2,0
35734,0,0,1,0,0,0,1,0
3290,0,0,1,0,0,0,1,0
18123,0,0,1,0,0,0,1,0
8094,2,0,0,2,0,1,1,0
67241,0,0,0,0,0,0,0,0
49781,0,0,1,0,0,0,1,0
45096,0,0,1,0,0,0,1,0
2901,0,0,1,0,0,0,1,0
3615,0,0,0,2,0,0,0,0
10696,0,0,1,0,0,0,1,0
26068,0,0,1,0,0,0,1,0
21227,0,0,1,0,0,0,2,0
78217,0,0,3,0,0,0,3,0
30889,0,0,1,0,0,0,1,0
30464,0,0,1,0,0,0,1,0
4483,0,0,2,0,0,0,2,0
60541,0,0,2,0,0,0,2,0
16026,0,0,1,0,0,0,1,0
436,0,0,0,0,0,0,29,0
73500,0,0,2,0,0,0,2,0
70822,0,0,1,0,0,0,1,0
63707,0,0,1,0,0,0,1,0
6798,0,1,0,1,0,2,1,0
47016,0,0,1,0,0,0,1,0
39427,0,0,1,0,0,0,1,0
60982,0,0,6,0,0,0,6,0
5801,0,0,0,4,0,10,1,0
64368,0,0,1,0,0,0,1,0
51286,0,0,1,0,0,0,1,0
23409,0,0,1,0,0,0,1,0
50890,0,0,0,1,37,4,4,0
2652,0,0,1,0,0,0,1,0
56736,0,0,2,0,0,0,2,0
3961,0,0,0,0,0,0,3,0
58549,0,0,1,0,0,0,1,0
6674,0,0,1,0,0,0,1,0
12163,0,0,1,0,0,0,1,0
22552,0,0,1,0,0,0,1,0
72798,0,0,1,0,0,0,1,0
3618,0,0,0,0,0,0,2,0
51780,0,0,3,0,0,0,3,0
21537,0,0,1,0,0,0,1,0
28832,0,0,1,0,0,0,1,0
51681,0,0,0,0,0,0,0,0
68142,0,0,1,0,0,0,1,0
4596,0,0,1,0,0,0,1,0
19336,0,0,2,0,0,0,2,0
75064,0,0,1,0,0,0,1,0
42884,0,0,1,0,0,0,1,0
5324,0,0,0,0,0,0,45,0
8217,5,0,0,1,50,2,2,0
3350,0,0,0,0,0,0,16,0
1788,0,0,0,0,0,0,4,0
8866,0,0,0,0,0,0,0,0
4466,0,0,0,0,0,0,0,0
5006,0,0,1,0,0,0,1,0
43335,0,0,0,1,0,0,0,0
50407,0,0,1,0,0,0,1,0
43626,0,0,3,0,0,0,3,0
53875,0,0,1,0,0,0,1,0
60033,0,0,6,0,0,0,6,0
10800,8,0,0,3,35,40,16,0
70796,0,0,1,0,0,0,1,0
28996,0,0,0,0,0,0,0,0
68261,0,0,0,0,0,0,0,0
49728,0,0,2,0,0,0,2,0
77279,0,0,0,2,0,6,0,0
24278,1,0,0,2,0,13,0,0
48661,0,0,1,0,0,0,1,0
22449,0,0,1,0,0,0,1,0
4732,0,0,1,0,0,0,1,0
54150,0,0,1,0,0,0,1,0
2581,0,0,0,0,0,0,2,0
66830,0,0,2,0,0,0,2,0
4743,0,0,0,0,0,0,0,0
4563,0,0,2,0,0,0,2,0
21525,0,0,0,0,0,0,0,0
36991,0,0,2,0,0,0,2,0
67342,0,0,0,0,0,0,0,0
65145,1,0,0,2,0,1,3,0
20163,0,0,1,0,0,0,1,0
14771,0,0,1,0,0,0,1,0
782,0,0,0,0,0,0,0,0
1139,0,0,1,0,0,0,1,0
2787,1,0,0,1,0,1,1,0
66132,4,0,0,2,50,6,6,0
8735,0,0,1,0,0,0,1,0
197,0,0,1,0,0,0,2,0
4630,0,0,0,0,0,0,1,0
7322,0,0,1,0,0,0,1,0
12923,0,0,1,0,0,0,1,0
9494,0,0,3,0,0,0,3,0
67615,2,0,0,2,50,9,4,0
23274,0,0,3,0,0,0,3,0
47379,0,0,0,0,0,0,0,0
2731,0,0,0,0,0,0,2,0
10795,0,0,2,0,0,0,2,0
42638,0,0,1,0,0,0,1,0
49429,0,0,1,0,0,0,1,0
45231,0,0,1,0,0,0,1,0
44484,0,0,1,0,0,0,1,0
50016,0,0,2,0,0,0,2,0
7429,0,0,1,0,0,0,1,0
73322,0,0,2,0,0,0,2,0
61298,0,0,1,0,0,0,1,0
73117,0,0,1,0,0,0,1,0
15386,0,0,1,0,0,0,1,0
9911,0,0,0,0,0,0,0,0
16443,0,0,3,0,0,0,3,0
6907,0,0,1,0,0,0,1,0
5625,0,0,0,0,0,0,11,0
38974,0,0,1,0,0,0,1,0
50490,0,0,5,0,0,0,5,0
39310,0,0,1,0,0,0,1,0
3181,0,0,1,0,0,0,1,0
2963,0,0,0,0,0,0,9,0
39363,0,0,3,0,0,0,3,0
31897,0,0,3,0,0,0,3,0
34803,0,0,1,0,0,0,1,0
30394,0,0,0,0,0,0,0,0
6182,0,0,0,0,0,0,0,0
14035,0,0,1,0,0,0,1,0
69341,0,0,1,0,0,0,1,0
5023,0,0,0,0,0,0,4,0
7118,0,0,1,0,0,0,1,0
9144,0,0,1,0,0,0,1,0
53385,0,0,0,1,0,1,1,0
46340,0,0,1,0,0,0,1,0
25039,0,0,1,0,0,0,1,0
1780,0,0,1,0,0,0,1,0
45670,0,0,1,0,0,0,1,0
30987,0,0,1,0,0,0,1,0
26224,0,0,0,0,0,0,0,0
52218,0,0,1,0,0,0,1,0
37424,0,0,2,0,0,0,2,0
3945,0,0,1,0,0,0,1,0
7895,0,0,1,0,0,0,1,0
7909,0,0,0,0,0,0,2,0
64757,0,0,1,0,0,0,1,0
50255,0,0,1,0,0,0,1,0
24176,0,0,1,0,0,0,1,0
17493,0,0,1,0,0,0,1,0
78279,0,0,5,0,0,0,5,0
83176,0,0,1,0,0,0,1,0
65139,0,0,1,0,0,0,1,0
9718,0,0,0,0,0,0,0,0
40966,0,0,1,0,0,0,1,0
10946,0,0,0,0,0,0,0,0
16911,0,0,1,0,0,0,1,0
7186,0,0,0,1,0,0,0,0
40683,0,0,1,0,0,0,1,0
74375,0,0,1,0,0,0,1,0
10411,0,0,1,0,0,0,1,0
86198,0,0,1,0,0,0,1,0
7482,0,0,0,0,0,0,2,0
68801,0,0,1,0,0,0,1,0
11829,0,0,1,0,0,0,1,0
5487,0,0,0,0,0,0,3,0
28497,0,0,3,0,0,0,3,0
17527,0,0,2,0,0,0,2,0
26103,0,0,1,0,0,0,1,0
29445,0,0,2,0,0,0,2,0
24170,0,0,1,0,0,0,1,0
51109,0,0,1,0,0,0,1,0
32558,0,0,1,0,0,0,1,0
1869,2,3,0,0,0,1,0,0
40706,0,0,2,0,0,0,2,0
7604,0,0,0,0,0,0,0,0
42616,0,0,1,0,0,0,1,0
69687,0,0,0,2,0,0,0,0
61723,0,0,1,0,0,0,1,0
4369,0,0,0,0,0,0,12,0
5162,0,0,1,0,0,0,1,0
62581,0,0,5,0,0,0,5,0
59908,0,0,1,0,0,0,1,0
30601,0,0,0,0,0,0,0,0
55012,0,0,1,0,0,0,1,0
69705,0,0,1,0,0,0,1,0
48448,0,0,1,0,0,0,1,0
18807,0,0,1,0,0,0,1,0
25132,0,0,1,0,0,0,1,0
43655,0,0,2,0,0,0,2,0
34953,0,1,0,0,0,1,0,0
8792,0,0,0,0,0,0,19,0
54994,0,0,1,0,0,0,1,0
6154,0,0,1,0,0,0,1,0
49120,0,0,1,0,0,0,1,0
18418,0,0,1,0,0,0,1,0
48328,0,0,2,0,0,0,2,0
33785,0,0,3,0,0,0,3,0
58992,0,0,1,0,0,0,1,0
7599,0,0,0,0,0,0,1,0
32744,0,0,2,0,0,0,2,0
63764,0,0,2,0,0,0,2,0
2509,0,0,4,0,0,0,4,0
45418,0,0,1,0,0,0,1,0
2629,0,0,0,0,0,0,2,0
47629,0,0,1,0,0,0,1,0
6354,0,0,2,0,0,0,2,0
66502,0,0,1,0,0,0,1,0
59424,0,0,0,0,0,0,24,0
65867,0,0,2,0,0,0,2,0
60762,0,0,1,0,0,0,1,0
139,0,0,3,0,0,0,3,0
2750,0,0,1,0,0,0,1,0
46274,0,0,0,1,0,2,2,0
79483,3,0,0,2,25,2,2,0
38497,0,0,1,0,0,0,1,0
8369,0,0,0,0,0,0,0,0
5502,0,0,0,0,0,0,0,0
2623,0,0,0,0,0,0,48,0
71204,0,0,1,0,0,0,1,0
5213,0,0,0,0,0,0,2,0
77378,0,0,0,0,0,0,0,0
18743,0,0,1,0,0,0,1,0
52403,1,0,0,2,0,1,2,0
4343,0,0,1,0,0,0,1,0
29541,0,0,0,0,0,0,6,0
43233,0,0,1,0,0,0,1,0
46069,0,0,0,1,25,2,2,0
3904,0,0,4,0,0,0,4,0
6397,0,0,1,0,0,0,1,0
48682,0,0,1,0,0,0,1,0
3190,0,0,5,0,0,0,5,0
16310,0,0,1,0,0,0,1,0
40912,0,0,1,0,0,0,1,0
3010,0,0,0,0,0,0,7,0
38052,0,0,1,0,0,0,1,0
50305,0,0,1,0,0,0,1,0
8814,0,0,1,0,0,0,1,0
35636,0,0,2,0,0,0,2,0
38319,0,0,1,0,0,0,1,0
56599,0,0,1,0,0,0,1,0
21196,0,0,1,0,0,0,1,0
7607,0,0,1,0,0,0,1,0
8394,0,0,0,0,0,0,3,0
46199,0,0,1,0,0,0,1,0
6626,0,0,1,0,0,0,1,0
2020,0,0,0,0,0,0,0,0
44938,0,0,1,0,0,0,1,0
45149,0,0,1,0,0,0,1,0
66288,0,0,1,0,0,0,1,0
5401,0,0,0,0,0,0,6,0
82864,0,0,1,0,0,0,1,0
56725,0,0,1,0,0,0,1,0
8039,0,0,1,0,0,0,1,0
65036,0,0,0,0,0,0,33,0
72742,0,0,1,0,0,0,1,0
59782,0,0,1,0,0,0,1,0
4262,0,0,0,0,0,0,8,0
10985,0,0,1,0,0,0,1,0
61911,0,0,1,0,0,0,1,0
1327,0,0,0,0,0,0,0,0
64298,0,0,1,0,0,0,1,0
2756,0,0,1,0,0,0,1,0
18282,0,0,3,0,0,0,3,0
43159,1,0,0,1,0,2,2,0
41853,0,0,0,0,0,0,0,0
86131,0,0,1,0,0,0,1,0
80520,0,0,20,0,0,0,20,0
5343,0,0,2,0,0,0,2,0
766,0,0,0,0,0,0,7,0
70995,0,0,2,0,0,0,2,0
23342,0,0,2,0,0,0,2,0
82616,0,0,0,1,0,0,0,0
33121,0,0,1,0,0,0,1,0
65527,0,0,1,0,0,0,1,0
64773,0,0,1,0,0,0,1,0
13534,0,0,1,0,0,0,1,0
6676,1,1,0,1,0,0,0,0
41724,0,0,3,0,0,0,3,0
2585,0,0,1,0,0,0,1,0
27671,0,0,0,0,0,0,0,0
7000,0,0,0,0,0,0,12,0
15776,0,0,2,0,0,0,2,0
10690,0,0,1,0,0,0,1,0
11926,0,0,2,0,0,0,2,0
6467,0,0,0,0,0,0,3,0
50083,0,0,2,0,0,0,2,0
7114,0,0,0,0,0,0,1,0
33249,0,0,1,0,0,0,1,0
100,0,0,0,0,0,0,0,0
5384,0,0,0,1,0,0,0,0
3290,0,0,0,0,0,0,0,0
9460,0,0,0,0,0,0,0,0
53103,0,0,1,0,0,0,1,0
22752,0,0,1,0,0,0,1,0
20975,8,3,0,0,0,5,0,0
54954,3,0,0,1,0,3,4,0
5236,0,0,1,0,0,0,1,0
31516,0,0,1,0,0,0,1,0
30785,0,0,3,0,0,0,3,0
50698,0,0,4,0,0,0,4,0
58747,0,0,5,0,0,0,5,0
83304,0,0,1,0,0,0,1,0
32265,0,0,0,3,0,16,1,0
8593,0,0,1,0,0,0,1,0
22474,0,0,1,0,0,0,1,0
23651,0,0,2,0,0,0,2,0
58284,0,0,2,0,0,0,2,0
8616,0,0,1,0,0,0,1,0
32010,0,0,1,0,0,0,1,0
68194,0,0,3,0,0,0,3,0
23491,0,0,1,0,0,0,1,0
51649,0,0,1,0,0,0,1,0
71004,0,0,1,0,0,0,1,0
23218,0,0,1,0,0,0,1,0
17587,0,0,1,0,0,0,1,0
4687,0,0,2,0,0,0,2,0
7545,0,0,1,0,0,0,1,0
34699,0,0,1,0,0,0,1,0
8777,2,0,0,1,0,1,1,0
40538,0,0,2,0,0,0,2,0
8119,0,0,1,0,0,0,1,0
56377,0,0,1,0,0,0,1,0
62789,0,0,1,0,0,0,1,0
44634,0,0,1,0,0,0,1,0
11126,0,0,2,0,0,0,2,0
16037,0,0,2,0,0,0,2,0
27651,0,0,0,0,0,0,0,0
24162,0,0,0,0,0,0,0,0
77478,0,0,1,0,0,0,1,0
65605,0,0,1,0,0,0,1,0
30438,0,0,1,0,0,0,1,0
11021,0,0,1,0,0,0,1,0
36322,0,0,2,0,0,0,2,0
4099,1,0,0,1,0,1,1,0
486,0,0,0,0,0,0,0,0
56096,0,0,1,0,0,0,1,0
33862,1,0,0,2,0,1,1,0
4087,0,0,0,0,0,0,4,0
8962,0,0,0,0,0,0,0,0
78988,0,0,1,0,0,0,1,0
8117,2,0,0,2,0,1,1,0
42326,0,0,1,0,0,0,1,0
19415,2,0,0,1,0,2,3,0
61049,0,0,0,0,0,0,0,0
68292,0,0,1,0,0,0,1,0
71690,0,0,1,0,0,0,1,0
52803,0,0,1,0,0,0,1,0
7051,0,0,0,0,0,0,58,0
44313,0,0,4,0,0,0,4,0
2797,0,0,0,0,0,0,4,0
75139,0,0,1,0,0,0,1,0
31642,0,0,1,0,0,0,1,0
2655,0,0,0,0,0,0,11,0
17685,0,0,1,0,0,0,1,0
24358,0,0,2,0,0,0,2,0
15823,0,0,1,0,0,0,1,0
66700,0,0,1,0,0,0,1,0
86419,0,0,1,0,0,0,1,0
58963,0,0,1,0,0,0,1,0
46652,2,0,0,3,0,7,1,0
8101,0,0,1,0,0,0,1,0
9311,0,0,0,1,0,0,0,0
8910,0,0,1,0,0,0,1,0
39712,0,0,1,0,0,0,1,0
54089,2,0,0,2,0,3,3,0
51467,0,0,0,0,0,0,0,0
3031,0,0,0,0,0,0,3,0
24627,0,0,2,0,0,0,2,0
9279,0,0,1,0,0,0,1,0
20402,0,0,0,0,0,0,0,0
3300,0,0,0,0,0,0,5,0
16612,0,0,1,0,0,0,1,0
79482,0,0,1,0,0,0,1,0
10779,0,0,8,0,0,0,10,0
13799,6,0,0,1,0,1,5,0
1528,0,0,0,0,0,0,1,0
254,0,0,0,0,0,0,12,0
49784,0,0,1,0,0,0,1,0
10170,0,0,1,0,0,0,1,0
72083,0,0,0,0,0,0,0,0
59133,0,0,1,0,0,0,1,0
6581,0,0,0,0,0,0,11,0
290,0,0,0,0,0,0,2,0
24819,0,0,2,0,0,0,2,0
62702,0,0,2,0,0,0,2,0
34125,0,0,1,0,0,0,1,0
6921,3,0,0,2,0,13,1,0
14053,0,0,1,0,0,0,1,0
44887,0,0,5,0,0,0,5,0
10499,0,0,3,0,0,0,3,0
47211,0,0,1,0,0,0,1,0
45887,0,0,1,0,0,0,1,0
18208,0,0,1,0,0,0,1,0
47971,0,0,1,0,0,0,1,0
590,0,0,0,0,0,0,5,0
3515,0,0,1,0,0,0,1,0
6508,1,0,0,1,0,1,1,0
27610,0,0,1,0,0,0,1,0
3657,0,0,1,0,0,0,1,0
54367,0,0,0,1,0,0,0,0
50981,0,0,2,0,0,0,2,0
76525,0,0,1,0,0,0,1,0
54875,0,0,2,0,0,0,2,0
27395,0,0,3,0,0,0,3,0
74287,0,0,16,0,0,0,16,0
63298,0,0,1,0,0,0,1,0
49016,0,0,1,0,0,0,1,0
17970,0,0,1,0,0,0,1,0
35891,0,0,1,0,0,0,1,0
2930,0,0,0,0,0,0,0,0
6524,0,0,0,0,0,0,21,0
86018,0,0,1,0,0,0,1,0
15349,0,0,2,0,0,0,2,0
85143,0,0,1,0,0,0,1,0
914,0,0,0,0,0,0,36,0
52222,0,0,1,0,0,0,1,0
55948,0,0,0,0,0,0,0,0
4357,0,0,1,0,0,0,1,0
37458,4,0,0,2,33,9,4,0
68471,0,0,1,0,0,0,1,0
3952,0,0,0,0,0,0,3,0
23248,0,0,3,0,0,0,3,0
86521,0,0,1,0,0,0,1,0
87075,0,0,0,0,0,0,0,0
29149,0,0,1,0,0,0,1,0
33484,0,0,1,0,0,0,1,0
50355,0,0,1,0,0,0,1,0
59560,0,0,0,0,0,0,0,0
36473,0,0,0,0,0,0,7,0
52887,0,0,0,1,0,0,0,0
58490,0,0,1,0,0,0,1,0
51559,0,0,1,0,0,0,1,0
50560,0,0,1,0,0,0,1,0
33961,0,0,1,0,0,0,1,0
25472,0,0,1,0,0,0,1,0
8480,0,0,0,0,0,0,3,0
64428,0,0,1,0,0,0,1,0
6432,0,0,1,0,0,0,1,0
8352,0,0,1,0,0,0,1,0
52061,0,0,1,0,0,0,1,0
23046,0,0,1,0,0,0,1,0
13058,0,0,2,0,0,0,2,0
63353,0,0,1,0,0,0,1,0
58707,0,0,1,0,0,0,1,0
51148,0,0,1,0,0,0,1,0
