,cbo,noc,cyclomatic,dit,lcom,rfc,wmc,designDefect
31220,0,0,1,0,0,0,1,0
47251,0,0,1,0,0,0,1,0
46781,0,0,0,0,0,0,0,0
702,0,0,0,0,0,0,50,0
76116,0,0,0,0,0,0,7,0
18763,0,0,0,0,0,0,0,0
31731,0,0,1,0,0,0,1,0
5846,0,0,0,1,0,1,1,0
30491,0,0,1,0,0,0,1,0
4782,0,0,0,0,0,0,0,0
2099,0,0,0,0,0,0,1,0
19355,0,0,4,0,0,0,4,0
41365,0,0,1,0,0,0,1,0
81358,0,0,2,0,0,0,2,0
5669,0,0,0,0,0,0,0,0
44012,0,0,1,0,0,0,1,0
26903,0,0,0,0,0,0,0,0
5687,0,0,1,0,0,0,1,0
4787,0,0,0,1,0,0,0,0
22677,1,1,0,0,0,4,0,0
50114,0,0,0,0,0,0,0,0
34858,0,0,1,0,0,0,1,0
34386,1,0,0,1,0,2,3,0
9799,0,0,0,0,0,0,0,0
6276,0,0,0,0,0,0,0,0
13703,0,0,0,0,0,0,0,0
58441,0,0,1,0,0,0,1,0
72172,0,0,0,0,0,0,0,0
49692,0,0,3,0,0,0,3,0
8822,0,0,3,0,0,0,3,0
64655,0,0,1,0,0,0,1,0
4843,0,0,2,0,0,0,2,0
54108,0,0,0,1,0,5,5,0
75980,0,0,1,0,0,0,1,0
31484,0,0,1,0,0,0,1,0
46928,0,0,2,0,0,0,2,0
67424,0,0,1,0,0,0,1,0
2698,0,0,0,0,0,0,2,0
17796,0,0,1,0,0,0,1,0
36020,0,0,1,0,0,0,1,0
6869,0,0,0,0,0,0,9,0
1235,0,0,0,0,0,0,19,0
37866,0,0,0,0,0,0,0,0
46672,0,0,1,0,0,0,1,0
71219,0,0,1,0,0,0,1,0
19940,0,0,1,0,0,0,1,0
54727,0,0,0,1,0,2,5,0
56865,0,0,4,0,0,0,4,0
36915,0,0,1,0,0,0,1,0
32789,0,0,2,0,0,0,2,0
14891,0,0,1,0,0,0,1,0
12044,0,0,1,0,0,0,1,0
80172,0,0,2,0,0,0,2,0
36421,0,0,1,0,0,0,1,0
63379,0,0,1,0,0,0,1,0
78818,0,0,8,0,0,0,8,0
3752,0,0,0,0,0,0,0,0
16277,0,0,4,0,0,0,4,0
28066,0,0,0,0,0,0,0,0
373,0,0,0,0,0,0,0,0
44505,0,0,1,0,0,0,1,0
664,0,0,0,0,0,0,18,0
39702,0,0,1,0,0,0,1,0
9442,0,0,1,0,0,0,1,0
40502,0,0,3,0,0,0,3,0
71741,0,0,0,0,0,0,0,0
