Project Name,Package Name,Type Name,MethodName,LOC,CC,PC
ant-rel-1.10.5,test,SpecialSeq,SpecialSeq,3,1,1
ant-rel-1.10.5,test,SpecialSeq,SpecialSeq,8,2,0
ant-rel-1.10.5,test,SpecialSeq,SpecialSeq,3,1,1
ant-rel-1.10.5,test,SpecialSeq,SpecialSeq,3,1,1
ant-rel-1.10.5,test,ContainsOnlyInner,ContainsOnlyInner,3,1,0
ant-rel-1.10.5,test,MethodParam,MethodParam,3,1,0
ant-rel-1.10.5,(default package),Alpha,Alpha,3,1,0
ant-rel-1.10.5,(default package),Beta,Beta,3,1,0
ant-rel-1.10.5,(default package),Beta,Beta,4,1,1
ant-rel-1.10.5,(default package),E,E,3,1,0
ant-rel-1.10.5,(default package),AntTimestamp,AntTimestamp,4,1,0
ant-rel-1.10.5,(default package),RemoteTimestamp,RemoteTimestamp,0,1,0
ant-rel-1.10.5,(default package),RemoteTimestampImpl,RemoteTimestampImpl,3,1,0
ant-rel-1.10.5,(default package),AssertionMain,AssertionMain,4,1,1
ant-rel-1.10.5,(default package),AssertionTest,AssertionTest,3,1,1
ant-rel-1.10.5,(default package),AssertionTest,AssertionTest,8,1,0
ant-rel-1.10.5,(default package),AssertionTest,AssertionTest,3,1,0
ant-rel-1.10.5,(default package),ExampleTest,ExampleTest,3,1,0
ant-rel-1.10.5,(default package),Find,Find,3,1,1
ant-rel-1.10.5,(default package),Find,Find,3,1,1
ant-rel-1.10.5,(default package),Find,Find,3,1,1
ant-rel-1.10.5,(default package),Find,Find,11,4,0
ant-rel-1.10.5,(default package),FindTest,FindTest,3,1,0
ant-rel-1.10.5,(default package),FindTest,FindTest,4,1,0
ant-rel-1.10.5,(default package),Find,Find,3,1,1
ant-rel-1.10.5,(default package),Find,Find,3,1,1
ant-rel-1.10.5,(default package),Find,Find,3,1,1
ant-rel-1.10.5,(default package),Find,Find,5,4,0
ant-rel-1.10.5,(default package),Find,Find,17,5,0
ant-rel-1.10.5,(default package),FindTest,FindTest,3,1,0
ant-rel-1.10.5,(default package),FindTest,FindTest,6,1,0
ant-rel-1.10.5,(default package),FindTest,FindTest,7,1,0
ant-rel-1.10.5,(default package),FindTest,FindTest,8,1,0
ant-rel-1.10.5,(default package),FindTest,FindTest,5,1,0
ant-rel-1.10.5,(default package),FindTest,FindTest,6,1,0
ant-rel-1.10.5,(default package),Find,Find,3,1,1
ant-rel-1.10.5,(default package),Find,Find,3,1,1
ant-rel-1.10.5,(default package),Find,Find,3,1,1
ant-rel-1.10.5,(default package),Find,Find,5,4,0
ant-rel-1.10.5,(default package),Find,Find,14,5,0
ant-rel-1.10.5,(default package),FindTest,FindTest,3,1,0
ant-rel-1.10.5,(default package),FindTest,FindTest,6,1,0
ant-rel-1.10.5,(default package),FindTest,FindTest,7,1,0
ant-rel-1.10.5,(default package),FindTest,FindTest,8,1,0
ant-rel-1.10.5,(default package),FindTest,FindTest,5,1,0
ant-rel-1.10.5,(default package),FindTest,FindTest,6,1,0
ant-rel-1.10.5,(default package),Find,Find,3,1,1
ant-rel-1.10.5,(default package),Find,Find,3,1,1
ant-rel-1.10.5,(default package),Find,Find,3,1,1
ant-rel-1.10.5,(default package),Find,Find,3,1,1
ant-rel-1.10.5,(default package),Find,Find,5,4,0
ant-rel-1.10.5,(default package),Find,Find,29,9,0
ant-rel-1.10.5,(default package),FindTest,FindTest,3,1,0
ant-rel-1.10.5,(default package),FindTest,FindTest,6,1,0
ant-rel-1.10.5,(default package),FindTest,FindTest,7,1,0
ant-rel-1.10.5,(default package),FindTest,FindTest,8,1,0
ant-rel-1.10.5,(default package),FindTest,FindTest,5,1,0
ant-rel-1.10.5,(default package),FindTest,FindTest,6,1,0
ant-rel-1.10.5,(default package),FindTest,FindTest,6,1,0
ant-rel-1.10.5,(default package),Find,Find,3,1,1
ant-rel-1.10.5,(default package),Find,Find,3,1,1
ant-rel-1.10.5,(default package),Find,Find,3,1,1
ant-rel-1.10.5,(default package),Find,Find,3,1,1
ant-rel-1.10.5,(default package),Find,Find,5,4,0
ant-rel-1.10.5,(default package),Find,Find,29,9,0
ant-rel-1.10.5,(default package),FindTest,FindTest,3,1,0
ant-rel-1.10.5,(default package),FindTest,FindTest,6,1,0
ant-rel-1.10.5,(default package),FindTest,FindTest,7,1,0
ant-rel-1.10.5,(default package),FindTest,FindTest,8,1,0
ant-rel-1.10.5,(default package),FindTest,FindTest,5,1,0
ant-rel-1.10.5,(default package),FindTest,FindTest,6,1,0
ant-rel-1.10.5,(default package),FindTest,FindTest,6,1,0
ant-rel-1.10.5,(default package),HelloWorld,HelloWorld,3,1,1
ant-rel-1.10.5,(default package),HelloWorld,HelloWorld,3,1,1
ant-rel-1.10.5,(default package),HelloWorld,HelloWorld,3,1,1
ant-rel-1.10.5,(default package),HelloWorld,HelloWorld,7,4,0
ant-rel-1.10.5,(default package),HelloWorld,HelloWorld,5,1,0
ant-rel-1.10.5,(default package),HelloWorld,HelloWorld,2,1,0
ant-rel-1.10.5,(default package),HelloWorld,HelloWorld,3,1,1
ant-rel-1.10.5,(default package),HelloWorld,HelloWorld,3,1,0
ant-rel-1.10.5,(default package),Message,Message,2,1,0
ant-rel-1.10.5,(default package),Message,Message,3,1,1
ant-rel-1.10.5,(default package),Message,Message,3,1,0
ant-rel-1.10.5,(default package),HelloWorldTest,HelloWorldTest,3,1,0
ant-rel-1.10.5,(default package),HelloWorldTest,HelloWorldTest,4,1,0
