Kind,Name,CountClassCoupled,CountClassDerived,CountDeclMethodAll,CountLine,CountLineCode,Cyclomatic,MaxInheritanceTree,PercentLackOfCohesion,SumCyclomatic
Unnamed Function,"(unnamed_function_1).(unnamed_function_91).(unnamed_function_92)",,,,1,1,4,,,4
Unnamed Function,"(unnamed_function_1).(unnamed_function_94)",,,,1,1,1,,,8
Unnamed Function,"(unnamed_function_1).(unnamed_function_96)",,,,1,1,1,,,4
Function,"(unnamed_function_1).J",,,,2,2,1,,,1
Function,"(unnamed_function_1).K",,,,1,1,1,,,1
Function,"(unnamed_function_1).L",,,,1,1,2,,,2
Function,"(unnamed_function_1).M",,,,1,1,1,,,1
Function,"(unnamed_function_1).N",,,,1,1,1,,,1
Function,"(unnamed_function_1).V",,,,1,1,1,,,1
Function,"(unnamed_function_1).W",,,,1,1,5,,,9
Unnamed Function,"(unnamed_function_1).W.(unnamed_function_10)",,,,1,1,1,,,1
Unnamed Function,"(unnamed_function_1).W.(unnamed_function_7)",,,,1,1,1,,,1
Unnamed Function,"(unnamed_function_1).W.(unnamed_function_8)",,,,1,1,1,,,1
Unnamed Function,"(unnamed_function_1).W.d.(unnamed_function_9)",,,,1,1,1,,,1
Function,"(unnamed_function_1).X",,,,1,1,3,,,3
Function,"(unnamed_function_1).bC",,,,1,1,3,,,3
Function,"(unnamed_function_1).bD",,,,1,1,3,,,3
Function,"(unnamed_function_1).bE",,,,1,1,5,,,8
Unnamed Function,"(unnamed_function_1).bE.(unnamed_function_5)",,,,1,1,2,,,2
Unnamed Function,"(unnamed_function_1).bE.(unnamed_function_6)",,,,1,1,1,,,1
Function,"(unnamed_function_1).b_",,,,1,1,1,,,5
Unnamed Function,"(unnamed_function_1).b_.(unnamed_function_4)",,,,1,1,4,,,4
Function,"(unnamed_function_1).bl",,,,1,1,2,,,2
Function,"(unnamed_function_1).bm",,,,1,1,6,,,6
Function,"(unnamed_function_1).bn",,,,1,1,6,,,6
Function,"(unnamed_function_1).bo",,,,1,1,3,,,3
Function,"(unnamed_function_1).bp",,,,1,1,2,,,2
Function,"(unnamed_function_1).bq",,,,1,1,2,,,2
Function,"(unnamed_function_1).br",,,,1,1,2,,,2
Function,"(unnamed_function_1).cA",,,,1,1,3,,,3
Function,"(unnamed_function_1).ca",,,,1,1,4,,,4
Function,"(unnamed_function_1).cb",,,,1,1,3,,,3
Function,"(unnamed_function_1).cc",,,,1,1,4,,,7
Unnamed Function,"(unnamed_function_1).cc.(unnamed_function_3)",,,,1,1,3,,,3
Function,"(unnamed_function_1).cd",,,,1,1,10,,,10
Function,"(unnamed_function_1).ce",,,,1,1,12,,,12
Unnamed Function,"(unnamed_function_1).ch.(unnamed_function_115)",,,,1,1,2,,,2
Function,"(unnamed_function_1).ck",,,,1,1,2,,,2
Function,"(unnamed_function_1).cl",,,,1,1,2,,,2
Function,"(unnamed_function_1).cu",,,,1,1,1,,,1
Function,"(unnamed_function_1).cv",,,,1,1,1,,,1
Function,"(unnamed_function_1).cw",,,,1,1,1,,,2
Unnamed Function,"(unnamed_function_1).cw.(unnamed_function_2)",,,,1,1,1,,,1
Function,"(unnamed_function_1).cx",,,,1,1,5,,,5
Function,"(unnamed_function_1).f",,,,1,1,3,,,148
Unnamed Function,"(unnamed_function_1).f.(unnamed_function_17)",,,,1,1,1,,,1
Unnamed Function,"(unnamed_function_1).f.(unnamed_function_18)",,,,1,1,1,,,1
Function,"(unnamed_function_1).f.C",,,,1,1,1,,,1
Function,"(unnamed_function_1).f.C",,,,1,1,1,,,1
Function,"(unnamed_function_1).f.K",,,,1,1,3,,,3
Class Function,"(unnamed_function_1).f.e",,,,1,1,1,1,,1
Function,"(unnamed_function_1).f.y",,,,1,1,1,,,1
Function,"(unnamed_function_1).h",,,,1,1,2,,,2
Function,"(unnamed_function_1).l",,,,1,1,9,,,9
Function,"(unnamed_function_1).m",,,,1,1,4,,,4
Function,"(unnamed_function_1).n",,,,1,1,1,,,2
Unnamed Function,"(unnamed_function_1).n.(unnamed_function_11)",,,,1,1,1,,,1
Unnamed Function,"(unnamed_function_13)",,,,1,1,1,,,1
Unnamed Function,"(unnamed_function_3)",,,,1,1,1,,,121
Function,"(unnamed_function_3).E",,,,1,1,1,,,1
Function,"(unnamed_function_3).N",,,,1,1,1,,,1
Function,"(unnamed_function_3).a",,,,1,1,1,,,1
Function,"(unnamed_function_3).b",,,,1,1,2,,,2
Function,"(unnamed_function_3).c",,,,1,1,5,,,16
Function,"(unnamed_function_3).c.c",,,,1,1,2,,,2
Function,"(unnamed_function_3).c.i",,,,1,1,6,,,6
Function,"(unnamed_function_3).c.o",,,,1,1,1,,,2
Function,"(unnamed_function_3).c.o.r",,,,1,1,1,,,1
Function,"(unnamed_function_3).c.u",,,,1,1,1,,,1
Function,"(unnamed_function_3).d",,,,1,1,1,,,1
Function,"(unnamed_function_3).f",,,,1,1,8,,,42
Function,"(unnamed_function_3).f.b",,,,1,1,2,,,2
Function,"(unnamed_function_3).f.c",,,,1,1,1,,,1
Function,"(unnamed_function_3).f.d",,,,1,1,3,,,3
Function,"(unnamed_function_3).f.g",,,,1,1,2,,,2
Function,"(unnamed_function_3).f.h",,,,1,1,3,,,3
Function,"(unnamed_function_3).f.m",,,,1,1,8,,,8
Function,"(unnamed_function_3).f.o",,,,1,1,3,,,3
Function,"(unnamed_function_3).f.p",,,,1,1,4,,,4
Function,"(unnamed_function_3).f.u",,,,1,1,4,,,4
Function,"(unnamed_function_3).f.v",,,,1,1,4,,,4
Function,"(unnamed_function_3).g",,,,1,1,1,,,2
Unnamed Function,"(unnamed_function_3).g.(unnamed_function_11)",,,,1,1,1,,,1
Function,"(unnamed_function_3).h",,,,1,1,2,,,2
Function,"(unnamed_function_3).i",,,,1,1,6,,,6
Function,"(unnamed_function_3).l",,,,1,1,1,,,3
Unnamed Function,"(unnamed_function_3).l.(unnamed_function_10)",,,,1,1,2,,,2
Function,"(unnamed_function_3).m",,,,1,1,1,,,2
Unnamed Function,"(unnamed_function_3).m.(unnamed_function_12)",,,,1,1,1,,,1
Function,"(unnamed_function_3).n",,,,1,1,1,,,1
Function,"(unnamed_function_3).o",,,,1,1,4,,,4
Function,"(unnamed_function_3).p",,,,1,1,5,,,5
Function,"(unnamed_function_3).r",,,,1,1,1,,,1
Function,"(unnamed_function_3).s",,,,1,1,1,,,23
Function,"(unnamed_function_3).s.n",,,,1,1,1,,,1
Function,"(unnamed_function_3).s.r",,,,1,1,6,,,18
Unnamed Function,"(unnamed_function_3).s.r.(unnamed_function_5)",,,,1,1,1,,,1
Unnamed Function,"(unnamed_function_3).s.r.(unnamed_function_6)",,,,1,1,3,,,4
Unnamed Function,"(unnamed_function_3).s.r.(unnamed_function_6).(unnamed_function_7)",,,,1,1,1,,,1
Unnamed Function,"(unnamed_function_3).s.r.(unnamed_function_8)",,,,1,1,1,,,1
Function,"(unnamed_function_3).s.r.c",,,,1,1,1,,,3
Unnamed Function,"(unnamed_function_3).s.r.c.(unnamed_function_4)",,,,1,1,2,,,2
Unnamed Function,"(unnamed_function_3).s.r.f.(unnamed_function_9)",,,,1,1,2,,,2
Function,"(unnamed_function_3).s.t",,,,1,1,3,,,3
Function,"(unnamed_function_3).t",,,,1,1,1,,,1
Function,"(unnamed_function_3).u",,,,1,1,1,,,4
Function,"(unnamed_function_3).u.r",,,,1,1,3,,,3
Function,"(unnamed_function_3).v",,,,1,1,1,,,1
File,"AIOOBExceptionWithAtLeastTest.java",,,,33,20,,,,1
File,"AbstractAwareMethod.java",,,,10,4,,,,0
File,"AbstractByteBuddyMockMakerTest.java",,,,207,157,,,,25
File,"AccessibilityChanger.java",,,,32,16,,,,3
File,"AccessibilityChangerTest.java",,,,38,23,,,,3
File,"AcrossClassLoaderSerializationTest.java",,,,99,71,,,,10
File,"ActualInvocationHasNullArgumentNPEBugTest.java",,,,38,22,,,,2
File,"AdditionalAnswers.java",,,,491,83,,,,17
File,"AdditionalMatchers.java",,,,1058,288,,,,69
File,"After.java",,,,46,23,,,,5
File,"AllInvocationsFinder.java",,,,51,26,,,,5
File,"AllInvocationsFinderTest.java",,,,94,62,,,,6
File,"And.java",,,,29,18,,,,3
File,"AndroidByteBuddyMockMaker.java",,,,56,43,,,,6
File,"AndroidLoadingStrategy.java",,,,35,27,,,,2
File,"AndroidTempFileLocator.java",,,,97,83,,,,13
File,"AnnotatedFieldsShouldBeInitializedByMockitoTestNGListenerTest.java",,,,36,26,,,,1
File,"AnnotationEngine.java",,,,28,5,,,,0
File,"AnnotationEngine.java",,,,29,4,,,,0
File,"AnnotationsAreCopiedFromMockedTypeTest.java",,,,129,102,,,,17
File,"AnnotationsTest.java",,,,120,90,,,,9
File,"Answer.java",,,,40,5,,,,0
File,"Answer1.java",,,,44,6,,,,0
File,"Answer2.java",,,,46,6,,,,0
File,"Answer3.java",,,,48,6,,,,0
File,"Answer4.java",,,,50,6,,,,0
File,"Answer5.java",,,,51,6,,,,0
File,"AnswerFunctionalInterfaces.java",,,,239,130,,,,21
File,"Answers.java",,,,102,29,,,,5
File,"AnswersWithDelay.java",,,,47,26,,,,4
File,"AnswersWithDelayTest.java",,,,46,31,,,,4
File,"Any.java",,,,26,14,,,,3
File,"AnyXMatchersAcceptNullsTest.java",,,,77,60,,,,5
File,"ArgMismatchFinder.java",,,,32,21,,,,5
File,"ArgMismatchFinderTest.java",,,,129,75,,,,8
File,"ArgumentCaptor.java",,,,151,24,,,,5
File,"ArgumentCaptorDontCapturePreviouslyVerifiedTest.java",,,,32,22,,,,1
File,"ArgumentCaptorTest.java",,,,36,20,,,,3
File,"ArgumentMatcher.java",,,,128,4,,,,0
File,"ArgumentMatcherAction.java",,,,32,5,,,,0
File,"ArgumentMatcherStorage.java",,,,29,14,,,,0
File,"ArgumentMatcherStorageImpl.java",,,,97,69,,,,14
File,"ArgumentMatchers.java",,,,1323,249,,,,59
File,"ArgumentMatchingTool.java",,,,50,36,,,,9
File,"ArgumentMatchingToolTest.java",,,,120,71,,,,10
File,"ArgumentsAreDifferent.java",,,,24,13,,,,2
File,"ArgumentsAreDifferent.java",,,,42,27,,,,4
File,"ArgumentsProcessor.java",,,,67,46,,,,10
File,"ArrayEquals.java",,,,74,61,,,,20
File,"Article.java",,,,19,10,,,,2
File,"ArticleCalculator.java",,,,13,7,,,,0
File,"ArticleDatabase.java",,,,27,15,,,,5
File,"ArticleManager.java",,,,37,25,,,,4
File,"Assertor.java",,,,10,4,,,,0
File,"AtLeast.java",,,,53,39,,,,8
File,"AtLeastDiscrepancy.java",,,,19,11,,,,2
File,"AtLeastMarksAllInvocationsVerified.java",,,,32,20,,,,3
File,"AtLeastTest.java",,,,31,22,,,,3
File,"AtLeastXNumberOfInvocationsChecker.java",,,,48,33,,,,4
File,"AtLeastXNumberOfInvocationsCheckerTest.java",,,,86,54,,,,4
File,"AtLeastXVerificationTest.java",,,,56,35,,,,4
File,"AtMost.java",,,,58,43,,,,8
File,"AtMostXVerificationTest.java",,,,115,90,,,,14
File,"BDDMockito.java",,,,529,176,,,,40
File,"BDDMockitoTest.java",,,,405,311,,,,51
File,"BaseStubbing.java",,,,83,66,,,,15
File,"BasicStubbingTest.java",,,,118,88,,,,13
File,"BasicVerificationInOrderTest.java",,,,272,232,,,,38
File,"BasicVerificationTest.java",,,,124,92,,,,13
File,"BeanPropertySetter.java",,,,98,52,,,,10
File,"BeanPropertySetterTest.java",,,,162,107,,,,13
File,"BridgeMethodPuzzleTest.java",,,,71,43,,,,5
File,"BridgeMethodsHitAgainTest.java",,,,67,48,,,,3
File,"ByteBuddyCrossClassLoaderSerializationSupport.java",,,,388,161,,,,21
File,"ByteBuddyMockMaker.java",,,,48,28,,,,5
File,"ByteBuddyMockMakerTest.java",,,,41,29,,,,1
File,"BytecodeGenerator.java",,,,10,4,,,,0
File,"CallingRealMethodTest.java",,,,76,51,,,,8
File,"Calls.java",,,,54,39,,,,6
File,"CallsRealMethods.java",,,,52,23,,,,4
File,"CallsRealMethodsTest.java",,,,55,33,,,,4
File,"CannotStubVoidMethodWithReturnValue.java",,,,13,7,,,,1
File,"CannotVerifyStubOnlyMock.java",,,,15,7,,,,1
File,"Captor.java",,,,40,6,,,,0
File,"CaptorAnnotatedFieldShouldBeClearedTest.java",,,,43,30,,,,2
File,"CaptorAnnotationAutoboxingTest.java",,,,45,28,,,,2
File,"CaptorAnnotationBasicTest.java",,,,107,70,,,,8
File,"CaptorAnnotationProcessor.java",,,,28,18,,,,2
File,"CaptorAnnotationTest.java",,,,149,110,,,,11
File,"CaptorAnnotationUnhappyPathTest.java",,,,43,28,,,,3
File,"CapturesArguments.java",,,,12,4,,,,0
File,"CapturingArgumentsTest.java",,,,318,191,,,,27
File,"CapturingMatcher.java",,,,65,49,,,,6
File,"CapturingMatcherTest.java",,,,73,41,,,,5
File,"CheckReturnValue.java",,,,32,14,,,,0
File,"Checks.java",,,,35,23,,,,6
File,"ChecksTest.java",,,,41,29,,,,4
File,"ChildWithSameParentFieldInjectionTest.java",,,,54,38,,,,5
File,"ClassCacheVersusClassReloadingTest.java",,,,69,49,,,,9
File,"ClassCastExOnVerifyZeroInteractionsTest.java",,,,42,32,,,,4
File,"ClassCreatingMockMaker.java",,,,12,6,,,,0
File,"ClassLoaders.java",,,,530,440,,,,97
File,"ClassLoadersTest.java",,,,344,243,,,,28
File,"ClassPathLoader.java",,,,74,23,,,,4
File,"ClassPathLoaderTest.java",,,,28,19,,,,2
File,"ClassToBeMocked.java",,,,10,2,,,,0
File,"CleaningUpPotentialStubbingTest.java",,,,54,37,,,,5
File,"ClickableStackTracesTest.java",,,,41,29,,,,4
