Project Name,Package Name,Type Name,MethodName,LOC,CC,PC
wildfly-16.0.0.Final,org.jboss.as.cmp.subsystem,CmpKeyGeneratorSubsystem11TestCase,CmpKeyGeneratorSubsystem11TestCase,3,1,2
wildfly-16.0.0.Final,org.jboss.as.cmp.subsystem,CmpKeyGeneratorSubsystem11TestCase,CmpKeyGeneratorSubsystem11TestCase,32,1,0
wildfly-16.0.0.Final,org.jboss.as.cmp.subsystem,CmpKeyGeneratorSubsystem11TestCase,CmpKeyGeneratorSubsystem11TestCase,7,1,3
wildfly-16.0.0.Final,org.jboss.as.cmp.subsystem,CmpKeyGeneratorSubsystem11TestCase,CmpKeyGeneratorSubsystem11TestCase,11,1,0
wildfly-16.0.0.Final,org.jboss.as.cmp.subsystem,CmpKeyGeneratorSubsystem11TestCase,CmpKeyGeneratorSubsystem11TestCase,3,1,0
wildfly-16.0.0.Final,org.jboss.as.cmp.subsystem,CmpKeyGeneratorSubsystem11TestCase,CmpKeyGeneratorSubsystem11TestCase,3,1,0
wildfly-16.0.0.Final,org.jboss.as.configadmin.parser,ConfigAdminAdd,ConfigAdminAdd,2,1,0
wildfly-16.0.0.Final,org.jboss.as.configadmin.parser,ConfigAdminExtension,ConfigAdminExtension,3,1,0
wildfly-16.0.0.Final,org.jboss.as.configadmin.parser,ConfigAdminExtension,ConfigAdminExtension,3,1,1
wildfly-16.0.0.Final,org.jboss.as.configadmin.parser,ConfigAdminExtension,ConfigAdminExtension,3,1,1
wildfly-16.0.0.Final,org.jboss.as.configadmin.parser,ConfigAdminExtension,ConfigAdminExtension,6,1,1
wildfly-16.0.0.Final,org.jboss.as.configadmin.parser,ConfigAdminParser,ConfigAdminParser,2,1,0
wildfly-16.0.0.Final,org.jboss.as.configadmin.parser,ConfigAdminParser,ConfigAdminParser,14,3,2
wildfly-16.0.0.Final,org.jboss.as.configadmin.parser,ConfigAdminParser,ConfigAdminParser,22,4,2
wildfly-16.0.0.Final,org.jboss.as.configadmin.parser,ConfigAdminParser,ConfigAdminParser,24,4,3
wildfly-16.0.0.Final,org.jboss.as.configadmin.parser,ConfigAdminRootResource,ConfigAdminRootResource,3,1,0
