Kind,Name,CountClassCoupled,CountClassDerived,CountDeclMethodAll,CountLine,CountLineCode,Cyclomatic,MaxInheritanceTree,PercentLackOfCohesion,SumCyclomatic
File,"BZip2Test.java",,,,109,63,,,,6
File,"Bad.java",,,,22,3,,,,0
File,"Base64Converter.java",,,,124,66,,,,5
File,"Base64ConverterTest.java",,,,49,21,,,,3
File,"BaseExtendSelector.java",,,,81,18,,,,2
File,"BaseFilterReader.java",,,,199,76,,,,19
File,"BaseIfAttribute.java",,,,75,24,,,,8
File,"BaseParamFilterReader.java",,,,74,22,,,,4
File,"BaseResourceCollectionContainer.java",,,,264,151,,,,36
File,"BaseResourceCollectionWrapper.java",,,,58,23,,,,4
File,"BaseSelector.java",,,,123,44,,,,12
File,"BaseSelectorContainer.java",,,,364,147,,,,39
File,"BaseSelectorRule.java",,,,131,62,,,,12
File,"BaseSelectorTest.java",,,,302,152,,,,35
File,"BaseTask.java",,,,77,52,,,,8
File,"BaseTest.java",,,,244,93,,,,26
File,"Basename.java",,,,113,39,,,,9
File,"BasenameTest.java",,,,101,63,,,,10
File,"BasicShape.java",,,,55,15,,,,3
File,"BatchTest.java",,,,184,70,,,,13
File,"BatchTestTest.java",,,,115,73,,,,4
File,"BeanShellScriptTest.java",,,,48,19,,,,2
Public Class,"Beta",0,0,3,9,9,,2,0,2
File,"Beta.java",,,,25,9,,,,2
Public Static Method,"Beta.main",,,,4,4,1,,,1
Public Method,"Beta.toString",,,,3,3,1,,,1
File,"BigProjectLogger.java",,,,181,76,,,,17
File,"BindTargets.java",,,,83,49,,,,11
File,"BlockFor.java",,,,72,20,,,,4
File,"BlockSort.java",,,,1072,635,,,,150
File,"BlockSortTest.java",,,,171,97,,,,15
File,"BorlandDeploymentTool.java",,,,549,294,,,,53
File,"BorlandEJBTasks.html",,,,136,0,0,,,0
File,"BorlandGenerateClient.html",,,,87,0,0,,,0
File,"BorlandGenerateClient.java",,,,299,157,,,,29
