Kind,Name,CountClassCoupled,CountClassDerived,CountDeclMethodAll,CountLine,CountLineCode,Cyclomatic,MaxInheritanceTree,PercentLackOfCohesion,SumCyclomatic
Package,"(Unnamed_Package)",,,,256,192,,,,36
Public Class,"A",0,0,0,6,6,,1,0,0
Public Class,"A",1,0,0,3,3,,1,0,0
Public Class,"A",0,0,0,4,4,,1,0,0
Public Class,"A",1,0,0,3,3,,3,0,0
Private Static Class,"A.Inner",0,0,0,4,4,,1,0,0
Private Static Class,"A.Inner",0,0,0,2,2,,3,0,0
Private Static Class,"A.Inner.Inner2",0,0,0,2,2,,3,0,0
File,"A.java",,,,7,6,,,,0
File,"A.java",,,,76,17,,,,3
File,"A.java",,,,6,5,,,,0
File,"A.java",,,,5,4,,,,0
File,"A.java",,,,4,3,,,,0
File,"ANTLR.java",,,,373,191,,,,43
File,"ANTLRTest.java",,,,184,70,,,,18
Class,"APrivate",0,0,0,2,2,,3,0,0
File,"AbstractAnalyzer.java",,,,321,113,,,,27
File,"AbstractComponent.java",,,,142,26,,,,6
File,"AbstractConverter.java",,,,99,13,,,,3
File,"AbstractCvsTask.java",,,,709,366,,,,89
File,"AbstractCvsTaskTest.java",,,,100,32,,,,7
File,"AbstractFileSet.java",,,,482,262,,,,61
File,"AbstractFileSetTest.java",,,,283,202,,,,22
File,"AbstractHotDeploymentTool.java",,,,228,55,,,,16
File,"AbstractMetamataTask.java",,,,383,197,,,,41
File,"AbstractTask.java",,,,114,18,,,,4
File,"AbstractXSLTLiaisonTest.java",,,,133,58,,,,7
File,"AggregateTransformer.java",,,,230,108,,,,20
File,"AncestorAnalyzer.java",,,,169,79,,,,17
File,"And.java",,,,84,15,,,,2
File,"AndSelector.java",,,,111,29,,,,6
File,"AnsiColorLogger.java",,,,278,128,,,,19
File,"Ant.java",,,,217,77,,,,15
File,"Ant.java",,,,424,223,,,,43
File,"Ant.java",,,,139,42,,,,7
File,"Ant.java",,,,453,253,,,,55
File,"Ant1CompatBuilder.java",,,,45,45,,,,4
File,"Ant1Converter.java",,,,136,36,,,,8
File,"Ant1Factory.java",,,,212,87,,,,14
File,"Ant1InputHandler.java",,,,95,18,,,,3
File,"AntAnalyzer.java",,,,185,95,,,,18
