Kind,Name,CountClassCoupled,CountClassDerived,CountDeclMethodAll,CountLine,CountLineCode,Cyclomatic,MaxInheritanceTree,PercentLackOfCohesion,SumCyclomatic
File,"AllJUnitTests.java",,,,78,15,,,,2
File,"Ant.java",,,,179,78,,,,16
File,"AntStructure.java",,,,126,42,,,,5
File,"Available.java",,,,128,55,,,,14
File,"BuildEvent.java",,,,166,53,,,,11
File,"BuildException.java",,,,162,39,,,,10
File,"BuildListener.java",,,,119,11,,,,0
File,"Chmod.java",,,,125,48,,,,12
File,"CompileTask.java",,,,112,27,,,,5
File,"Copydir.java",,,,126,53,,,,9
File,"Copyfile.java",,,,97,29,,,,6
File,"Cvs.java",,,,154,64,,,,20
File,"DDCreator.java",,,,162,44,,,,8
File,"DDCreatorHelper.java",,,,149,50,,,,8
File,"DefaultLogger.java",,,,162,67,,,,17
File,"Delete.java",,,,156,58,,,,16
File,"Deltree.java",,,,122,43,,,,11
File,"DesirableFilter.java",,,,118,24,,,,6
File,"DirectoryScanner.java",,,,827,393,,,,103
File,"Echo.java",,,,85,13,,,,2
File,"EjbJar.java",,,,645,290,,,,41
File,"Ejbc.java",,,,200,61,,,,11
File,"EjbcHelper.java",,,,278,125,,,,18
File,"EnumeratedAttribute.java",,,,112,27,,,,8
File,"EnumeratedAttributeTest.java",,,,122,54,,,,11
File,"Exec.java",,,,240,136,,,,31
File,"Expand.java",,,,159,65,,,,12
File,"Filter.java",,,,81,15,,,,3
File,"FixCRLF.java",,,,384,188,,,,58
File,"GUnzip.java",,,,143,68,,,,16
File,"GZip.java",,,,130,56,,,,10
File,"Get.java",,,,157,62,,,,15
File,"IntrospectionHelper.java",,,,510,320,,,,67
File,"IntrospectionHelperTest.java",,,,201,128,,,,20
File,"Jar.java",,,,123,42,,,,9
File,"Java.java",,,,241,115,,,,28
File,"Javac.java",,,,333,154,,,,36
File,"JavacOutputStream.java",,,,125,33,,,,7
File,"Javadoc.java",,,,989,759,,,,205
File,"Jikes.java",,,,47,24,,,,3
File,"JikesOutputParser.java",,,,103,56,,,,17
File,"KeySubst.java",,,,203,101,,,,16
File,"Location.java",,,,111,30,,,,6
File,"MSVSS.java",,,,196,56,,,,9
File,"MSVSSGET.java",,,,309,105,,,,24
File,"MailMessage.java",,,,448,215,,,,54
File,"Main.java",,,,361,202,,,,39
File,"Map.java",,,,62,5,,,,0
File,"MatchingTask.java",,,,310,144,,,,42
File,"Mkdir.java",,,,87,21,,,,4
File,"NetRexxC.java",,,,501,188,,,,43
File,"Patch.java",,,,174,70,,,,18
File,"Path.java",,,,224,91,,,,25
File,"PathTest.java",,,,205,128,,,,13
File,"PathTokenizer.java",,,,128,40,,,,7
File,"Project.java",,,,153,60,,,,5
File,"ProjectHelper.java",,,,503,322,,,,78
File,"Property.java",,,,242,150,,,,36
File,"Rename.java",,,,116,30,,,,7
File,"RenameExtensions.java",,,,163,61,,,,14
File,"Replace.java",,,,190,78,,,,18
File,"Rmic.java",,,,417,245,,,,62
File,"Script.java",,,,160,61,,,,13
File,"SignJar.java",,,,218,116,,,,25
File,"Tar.java",,,,148,66,,,,11
File,"TarBuffer.java",,,,440,223,,,,56
File,"TarConstants.java",,,,182,25,,,,0
File,"TarEntry.java",,,,572,244,,,,46
File,"TarInputStream.java",,,,419,197,,,,41
File,"TarOutputStream.java",,,,314,121,,,,24
File,"TarUtils.java",,,,234,85,,,,20
File,"Target.java",,,,146,70,,,,20
File,"Task.java",,,,197,50,,,,15
File,"TaskAdapter.java",,,,102,28,,,,5
File,"TaskOutputStream.java",,,,118,28,,,,5
File,"Taskdef.java",,,,111,40,,,,8
File,"Touch.java",,,,197,98,,,,18
File,"Tstamp.java",,,,86,20,,,,2
File,"Untar.java",,,,167,73,,,,14
File,"WLRun.java",,,,224,73,,,,14
File,"WLStop.java",,,,168,42,,,,8
File,"XSLTLiaison.java",,,,70,6,,,,0
File,"XSLTProcess.java",,,,314,102,,,,22
File,"XalanLiaison.java",,,,87,20,,,,3
File,"XmlLogger.java",,,,269,155,,,,29
File,"XslpLiaison.java",,,,88,20,,,,3
File,"Zip.java",,,,239,130,,,,24
File,"build.xml",,,,283,199,0,,,0
File,"buildAnt.xml",,,,84,51,0,,,0
Package,"com",,,,0,0,,,,0
Package,"com.oreilly",,,,0,0,,,,0
Package,"com.oreilly.servlet",,,,448,215,,,,54
Public Class,"com.oreilly.servlet.MailMessage",1,0,27,341,177,,1,88,45
Public Constructor,"com.oreilly.servlet.MailMessage.MailMessage",,,,9,3,1,,,1
Public Constructor,"com.oreilly.servlet.MailMessage.MailMessage",,,,16,9,1,,,1
Public Method,"com.oreilly.servlet.MailMessage.bcc",,,,10,3,1,,,1
Public Method,"com.oreilly.servlet.MailMessage.cc",,,,10,4,1,,,1
Method,"com.oreilly.servlet.MailMessage.connect",,,,8,8,1,,,1
Method,"com.oreilly.servlet.MailMessage.disconnect",,,,5,5,4,,,4
Method,"com.oreilly.servlet.MailMessage.flushHeaders",,,,11,10,2,,,2
Public Method,"com.oreilly.servlet.MailMessage.from",,,,10,4,1,,,1
Public Method,"com.oreilly.servlet.MailMessage.getPrintStream",,,,15,8,1,,,1
Method,"com.oreilly.servlet.MailMessage.getReady",,,,8,8,2,,,2
Method,"com.oreilly.servlet.MailMessage.isResponseOK",,,,9,8,3,,,3
Static Method,"com.oreilly.servlet.MailMessage.sanitizeAddress",,,,34,31,9,,,9
Method,"com.oreilly.servlet.MailMessage.send",,,,10,8,2,,,2
Public Method,"com.oreilly.servlet.MailMessage.sendAndClose",,,,10,4,1,,,1
Method,"com.oreilly.servlet.MailMessage.sendData",,,,4,4,1,,,1
Method,"com.oreilly.servlet.MailMessage.sendDot",,,,4,4,1,,,1
Method,"com.oreilly.servlet.MailMessage.sendFrom",,,,4,4,1,,,1
Method,"com.oreilly.servlet.MailMessage.sendHelo",,,,5,5,1,,,1
Method,"com.oreilly.servlet.MailMessage.sendQuit",,,,4,4,1,,,1
Method,"com.oreilly.servlet.MailMessage.sendRcpt",,,,4,4,1,,,1
Method,"com.oreilly.servlet.MailMessage.setCcHeader",,,,3,3,1,,,1
Method,"com.oreilly.servlet.MailMessage.setFromHeader",,,,3,3,1,,,1
Public Method,"com.oreilly.servlet.MailMessage.setHeader",,,,8,3,1,,,1
Public Method,"com.oreilly.servlet.MailMessage.setSubject",,,,7,3,1,,,1
Method,"com.oreilly.servlet.MailMessage.setToHeader",,,,3,3,1,,,1
Public Method,"com.oreilly.servlet.MailMessage.to",,,,10,4,1,,,1
Method,"com.oreilly.servlet.MailMessage.vectorToList",,,,11,11,3,,,3
Class,"com.oreilly.servlet.MailPrintStream",0,0,5,42,34,,2,80,9
Public Constructor,"com.oreilly.servlet.MailPrintStream.MailPrintStream",,,,3,3,1,,,1
Method,"com.oreilly.servlet.MailPrintStream.rawPrint",,,,6,6,2,,,2
Method,"com.oreilly.servlet.MailPrintStream.rawWrite",,,,3,3,1,,,1
Public Method,"com.oreilly.servlet.MailPrintStream.write",,,,14,14,3,,,3
Public Method,"com.oreilly.servlet.MailPrintStream.write",,,,5,5,2,,,2
File,"core.html",,,,278,0,0,,,0
File,"design guide.xml",,,,82,81,0,,,0
File,"docbookx.css",,,,64,0,0,,,0
File,"index.html",,,,3758,0,0,,,0
Package,"org",,,,0,0,,,,0
