Project Name,Package Name,Type Name,Code Smell
wildfly-12.0.0.Final,org.jboss.as.appclient.component,ApplicationClientComponentDescription,Deficient Encapsulation
wildfly-12.0.0.Final,org.jboss.as.appclient.deployment,ActiveApplicationClientProcessor,Unutilized Abstraction
wildfly-12.0.0.Final,org.jboss.as.appclient.deployment,AppClientAttachments,Deficient Encapsulation
wildfly-12.0.0.Final,org.jboss.as.appclient.deployment,AppClientJBossAllParser,Deficient Encapsulation
wildfly-12.0.0.Final,org.jboss.as.appclient.deployment,ApplicationClientDependencyProcessor,Unutilized Abstraction
wildfly-12.0.0.Final,org.jboss.as.appclient.deployment,ApplicationClientDependencyProcessor,Deficient Encapsulation
wildfly-12.0.0.Final,org.jboss.as.appclient.deployment,ApplicationClientManifestProcessor,Unutilized Abstraction
wildfly-12.0.0.Final,org.jboss.as.appclient.deployment,ApplicationClientParsingDeploymentProcessor,Unutilized Abstraction
wildfly-12.0.0.Final,org.jboss.as.appclient.deployment,ApplicationClientStartProcessor,Unutilized Abstraction
wildfly-12.0.0.Final,org.jboss.as.appclient.service,ApplicationClientDeploymentService,Deficient Encapsulation
wildfly-12.0.0.Final,org.jboss.as.appclient.service,DeploymentTask,Unutilized Abstraction
wildfly-12.0.0.Final,org.jboss.as.appclient.service,ApplicationClientStartService,Deficient Encapsulation
wildfly-12.0.0.Final,org.jboss.as.appclient.service,DefaultApplicationClientCallbackHandler,Unutilized Abstraction
wildfly-12.0.0.Final,org.jboss.as.appclient.service,DefaultApplicationClientCallbackHandler,Deficient Encapsulation
wildfly-12.0.0.Final,org.jboss.as.appclient.service,RealmCallbackWrapper,Unutilized Abstraction
wildfly-12.0.0.Final,org.jboss.as.appclient.subsystem,AppClientExtension,Deficient Encapsulation
wildfly-12.0.0.Final,org.jboss.as.appclient.subsystem,AppClientExtension,Cyclic-Dependent Modularization
wildfly-12.0.0.Final,org.jboss.as.appclient.subsystem,ApplicationClientSubsystemParser,Cyclic-Dependent Modularization
wildfly-12.0.0.Final,org.jboss.as.appclient.subsystem,AppClientSubsystemAdd,Deficient Encapsulation
wildfly-12.0.0.Final,org.jboss.as.appclient.subsystem,AppClientSubsystemAdd,Cyclic-Dependent Modularization
wildfly-12.0.0.Final,org.jboss.as.appclient.subsystem,ConstantService,Unutilized Abstraction
wildfly-12.0.0.Final,org.jboss.as.appclient.subsystem,AppClientSubsystemResourceDefinition,Deficient Encapsulation
wildfly-12.0.0.Final,org.jboss.as.appclient.subsystem,AppClientSubsystemResourceDefinition,Cyclic-Dependent Modularization
wildfly-12.0.0.Final,org.jboss.as.appclient.subsystem,Constants,Deficient Encapsulation
wildfly-12.0.0.Final,org.jboss.as.appclient.subsystem,Constants,Broken Modularization
wildfly-12.0.0.Final,org.jboss.as.appclient.subsystem,ParsedOptions,Unnecessary Abstraction
wildfly-12.0.0.Final,org.jboss.as.appclient.subsystem.parsing,AppClientSocketBindingsXml,Unutilized Abstraction
wildfly-12.0.0.Final,org.wildfly.extension.batch.jberet,AttributeMarshallers,Deficient Encapsulation
wildfly-12.0.0.Final,org.wildfly.extension.batch.jberet,BatchServiceNames,Deficient Encapsulation
wildfly-12.0.0.Final,org.wildfly.extension.batch.jberet,BatchSubsystemDefinition,Deficient Encapsulation
wildfly-12.0.0.Final,org.wildfly.extension.batch.jberet,BatchSubsystemDefinition,Cyclic-Dependent Modularization
wildfly-12.0.0.Final,org.wildfly.extension.batch.jberet,BatchSubsystemAdd,Cyclic-Dependent Modularization
wildfly-12.0.0.Final,org.wildfly.extension.batch.jberet,BatchSubsystemExtension,Unutilized Abstraction
wildfly-12.0.0.Final,org.wildfly.extension.batch.jberet,BatchSubsystemExtensionTransformerRegistration,Unutilized Abstraction
wildfly-12.0.0.Final,org.wildfly.extension.batch.jberet,BatchSubsystemParser_1_0,Deficient Encapsulation
wildfly-12.0.0.Final,org.wildfly.extension.batch.jberet,BatchSubsystemParser_2_0,Unutilized Abstraction
wildfly-12.0.0.Final,org.wildfly.extension.batch.jberet,BatchSubsystemParser_2_0,Deficient Encapsulation
wildfly-12.0.0.Final,org.wildfly.extension.batch.jberet,BatchSubsystemParser_2_0,Broken Hierarchy
wildfly-12.0.0.Final,org.wildfly.extension.batch.jberet,DefaultBatchEnvironment,Deficient Encapsulation
wildfly-12.0.0.Final,org.wildfly.extension.batch.jberet,JBeretSubsystemParsingTestCase,Unutilized Abstraction
wildfly-12.0.0.Final,org.wildfly.extension.batch.jberet,JBeretSubsystemParsingTestCase,Broken Hierarchy
