Kind,Name,CountClassCoupled,CountLineCode,Cyclomatic,SumCyclomatic,MaxInheritanceTree,PercentLackOfCohesion
Public Method,"Beta.toString",,3,1,1,,
File,"BigProjectLogger.java",,76,,17,,
File,"BindTargets.java",,49,,11,,
File,"BlockFor.java",,20,,4,,
File,"BlockSort.java",,635,,150,,
File,"BlockSortTest.java",,97,,15,,
File,"BorlandDeploymentTool.java",,294,,53,,
File,"BorlandEJBTasks.html",,0,0,0,,
File,"BorlandGenerateClient.html",,0,0,0,,
File,"BorlandGenerateClient.java",,157,,29,,
File,"BriefJUnitResultFormatter.java",,154,,30,,
File,"BuildEvent.java",,54,,11,,
File,"BuildException.java",,45,,12,,
File,"BuildFileRule.java",,126,,27,,
File,"BuildFileTest.java",,262,,57,,
File,"BuildListener.java",,11,,0,,
File,"BuildLogger.java",,8,,0,,
File,"BuildNumber.java",,79,,13,,
File,"BuildTimeoutException.java",,26,,7,,
File,"BuiltinNative2Ascii.java",,59,,11,,
Public Class,"C",0,2,,0,1,0
File,"C.java",,2,,0,,
File,"CBZip2InputStream.java",,741,,143,,
File,"CBZip2OutputStream.java",,953,,176,,
File,"CBZip2StreamTest.java",,17,,2,,
File,"CCCheckin.java",,111,,27,,
File,"CCCheckout.java",,168,,41,,
File,"CCLock.java",,121,,29,,
File,"CCMCheck.java",,88,,20,,
File,"CCMCheckin.java",,9,,1,,
File,"CCMCheckinDefault.java",,9,,1,,
File,"CCMCheckout.java",,7,,1,,
File,"CCMCreateTask.java",,147,,31,,
File,"CCMReconfigure.java",,58,,13,,
File,"CCMkattr.java",,149,,39,,
File,"CCMkbl.java",,116,,28,,
File,"CCMkdir.java",,77,,18,,
File,"CCMkelem.java",,141,,36,,
File,"CCMklabel.java",,134,,35,,
File,"CCMklbtype.java",,140,,36,,
File,"CCRmtype.java",,122,,30,,
File,"CCUnCheckout.java",,44,,8,,
File,"CCUnlock.java",,81,,19,,
File,"CCUpdate.java",,104,,24,,
File,"CRC.java",,102,,10,,
File,"CVSEntry.java",,40,,9,,
File,"CVSPass.java",,93,,13,,
File,"CVSPassTest.java",,68,,7,,
File,"Cab.java",,186,,34,,
File,"Cache.java",,11,,0,,
File,"CallTarget.java",,102,,26,,
File,"CallTargetTest.java",,50,,7,,
File,"CaseTest.java",,25,,3,,
File,"CentralDirectoryParsingZipExtraField.java",,6,,0,,
File,"ChainReaderHelper.java",,197,,37,,
File,"ChainableReader.java",,5,,0,,
File,"ChainedMapper.java",,14,,4,,
File,"ChangeLogParser.java",,172,,34,,
File,"ChangeLogParserTest.java",,40,,2,,
File,"ChangeLogTask.java",,210,,44,,
File,"ChangeLogWriter.java",,61,,7,,
File,"ChangeLogWriterTest.java",,58,,12,,
File,"Checksum.java",,411,,80,,
File,"ChecksumAlgorithm.java",,54,,12,,
File,"ChecksumTest.java",,70,,15,,
File,"Chgrp.java",,26,,5,,
File,"Chmod.java",,122,,25,,
File,"Chown.java",,26,,5,,
File,"ClassCPInfo.java",,27,,5,,
File,"ClassConstants.java",,70,,15,,
File,"ClassFile.java",,50,,7,,
File,"ClassFileIterator.java",,30,,4,,
File,"ClassFileSetTest.java",,93,,12,,
File,"ClassFileUtils.java",,9,,2,,
File,"ClassNameReader.java",,72,,16,,
File,"ClassToJavadoc.java",,6,,3,,
File,"ClassfileSet.java",,83,,18,,
File,"Classloader.java",,109,,25,,
File,"ClasspathUtils.java",,158,,38,,
File,"ClasspathUtilsTest.java",,36,,4,,
File,"ClearCase.java",,88,,13,,
File,"CloseResources.java",,27,,5,,
File,"CollectionUtils.java",,120,,27,,
File,"CollectionUtilsTest.java",,74,,2,,
File,"ColorMapper.java",,57,,18,,
File,"CommandLauncher.java",,106,,18,,
File,"CommandLauncherProxy.java",,14,,2,,
File,"CommandLauncherTask.java",,27,,6,,
File,"Commandline.java",,312,,86,,
File,"CommandlineJava.java",,439,,122,,
File,"CommandlineJavaTest.java",,139,,12,,
File,"CommandlineTest.java",,130,,9,,
File,"CommonsLoggingListener.java",,213,,44,,
File,"Compare.java",,85,,19,,
File,"Comparison.java",,33,,7,,
File,"Compatability.java",,11,,2,,
File,"Compatibility.java",,11,,2,,
File,"CompilerAdapter.java",,7,,0,,
File,"CompilerAdapterExtension.java",,4,,0,,
File,"CompilerAdapterFactory.java",,90,,18,,
File,"ComponentHelper.java",,604,,118,,
File,"Componentdef.java",,6,,1,,
File,"CompositeMapper.java",,11,,3,,
File,"CompressedResource.java",,14,,3,,
File,"Concat.java",,559,,125,,
File,"ConcatFileInputStream.java",,73,,15,,
File,"ConcatFilter.java",,91,,24,,
File,"ConcatFilterTest.java",,84,,10,,
File,"ConcatResourceInputStream.java",,80,,19,,
File,"ConcatTest.java",,164,,24,,
File,"Condition.java",,5,,0,,
File,"ConditionBase.java",,85,,24,,
File,"ConditionTask.java",,53,,12,,
File,"ConditionTest.java",,270,,52,,
File,"ConstantCPInfo.java",,13,,3,,
File,"ConstantPool.java",,165,,39,,
File,"ConstantPoolEntry.java",,102,,22,,
File,"Constants.java",,21,,1,,
File,"ContainerMapper.java",,44,,11,,
File,"Contains.java",,25,,6,,
File,"ContainsOnlyInner.java",,6,,1,,
File,"ContainsRegexpSelector.java",,100,,22,,
File,"ContainsRegexpTest.java",,22,,2,,
File,"ContainsSelector.java",,103,,25,,
File,"ContainsSelectorTest.java",,72,,9,,
File,"ContainsTest.java",,15,,1,,
File,"Content.java",,21,,4,,
File,"ContentTransformingResource.java",,72,,18,,
File,"Continuus.java",,51,,8,,
File,"Copy.java",,661,,156,,
File,"CopyPath.java",,103,,22,,
File,"CopyTest.java",,239,,28,,
File,"Copydir.java",,90,,18,,
File,"CopydirTest.java",,44,,7,,
File,"Copyfile.java",,54,,11,,
File,"CopyfileTest.java",,45,,7,,
File,"CustomJUnit4TestAdapterCache.java",,53,,11,,
File,"CutDirsMapper.java",,36,,8,,
File,"Cvs.java",,5,,1,,
File,"CvsTagDiff.java",,281,,50,,
File,"CvsTagEntry.java",,45,,10,,
File,"CvsUser.java",,27,,7,,
File,"CvsVersion.java",,108,,25,,
Public Class,"D",0,2,,0,1,0
File,"D.java",,2,,0,,
File,"DOMElementWriter.java",,350,,78,,
File,"DOMElementWriterTest.java",,219,,16,,
File,"DOMUtil.java",,132,,30,,
File,"DOMUtilTest.java",,26,,2,,
File,"DOMUtils.java",,38,,7,,
File,"DTDLocation.java",,3,,0,,
File,"DataType.java",,138,,33,,
File,"Date.java",,75,,18,,
File,"Date.java",,9,,1,,
File,"DateSelector.java",,127,,30,,
File,"DateSelectorTest.java",,173,,19,,
File,"DateUtils.java",,153,,28,,
File,"DateUtilsTest.java",,68,,7,,
File,"DefBase.java",,64,,16,,
File,"DefaultCompilerAdapter.java",,504,,101,,
File,"DefaultCompilerAdapterTest.java",,464,,35,,
File,"DefaultDefinitions.java",,38,,5,,
File,"DefaultExcludes.java",,48,,11,,
File,"DefaultExcludesTest.java",,132,,6,,
File,"DefaultExecutor.java",,28,,6,,
File,"DefaultInputHandler.java",,74,,16,,
File,"DefaultJspCompilerAdapter.java",,54,,14,,
File,"DefaultLogger.java",,151,,35,,
File,"DefaultLoggerTest.java",,39,,3,,
File,"DefaultNative2Ascii.java",,33,,5,,
File,"DefaultRmicAdapter.java",,279,,57,,
File,"Definer.java",,361,,75,,
File,"DelegatedResourceComparator.java",,80,,24,,
File,"Delete.java",,523,,124,,
File,"DeleteTest.java",,78,,17,,
File,"Deltree.java",,45,,11,,
File,"DeltreeTest.java",,22,,3,,
File,"DemuxInputStream.java",,22,,4,,
File,"DemuxOutputStream.java",,106,,19,,
File,"DemuxOutputTask.java",,41,,7,,
File,"Depend.java",,505,,103,,
File,"DependScanner.java",,100,,22,,
File,"DependSelector.java",,25,,5,,
File,"DependSelectorTest.java",,109,,11,,
File,"DependSet.java",,163,,36,,
File,"DependTest.java",,120,,15,,
File,"DependencyAnalyzer.java",,17,,0,,
File,"DependencyVisitor.java",,92,,17,,
File,"DepthSelector.java",,82,,19,,
File,"DepthSelectorTest.java",,101,,11,,
File,"Description.java",,56,,13,,
File,"DescriptionTest.java",,35,,2,,
File,"DescriptorHandler.java",,207,,43,,
File,"DeweyDecimal.java",,10,,2,,
File,"DeweyDecimal.java",,103,,35,,
File,"DeweyDecimalTest.java",,44,,7,,
File,"Diagnostics.java",,424,,83,,
File,"DiagnosticsTask.java",,10,,1,,
File,"Difference.java",,33,,6,,
File,"DifferentSelector.java",,41,,9,,
File,"DigestAlgorithm.java",,73,,15,,
File,"DirSet.java",,45,,10,,
File,"DirSetTest.java",,64,,5,,
File,"Directory.java",,84,,20,,
File,"DirectoryIterator.java",,61,,10,,
File,"DirectoryScanner.java",,812,,181,,
File,"DirectoryScannerTest.java",,405,,44,,
File,"Dirname.java",,24,,5,,
File,"DirnameTest.java",,52,,6,,
File,"DispatchTask.java",,15,,3,,
File,"DispatchTaskTest.java",,16,,2,,
File,"DispatchUtils.java",,86,,18,,
File,"Dispatchable.java",,4,,0,,
File,"DoubleCPInfo.java",,16,,3,,
File,"Draw.java",,47,,10,,
File,"DrawOperation.java",,5,,0,,
File,"DummyTaskAbstract.java",,9,,2,,
File,"DummyTaskInterface.java",,4,,0,,
File,"DummyTaskOk.java",,8,,2,,
File,"DummyTaskOkNonTask.java",,7,,2,,
File,"DummyTaskWithNonPublicExecute.java",,7,,2,,
File,"DummyTaskWithNonVoidExecute.java",,8,,2,,
File,"DummyTaskWithoutDefaultConstructor.java",,8,,2,,
File,"DummyTaskWithoutExecute.java",,7,,2,,
File,"DummyTaskWithoutPublicConstructor.java",,8,,2,,
File,"DynamicAttribute.java",,5,,0,,
File,"DynamicAttributeNS.java",,6,,0,,
File,"DynamicConfigurator.java",,4,,0,,
File,"DynamicConfiguratorNS.java",,4,,0,,
File,"DynamicElement.java",,4,,0,,
File,"DynamicElementNS.java",,5,,0,,
File,"DynamicFilterTest.java",,49,,7,,
File,"DynamicObjectAttribute.java",,5,,0,,
File,"DynamicTask.java",,21,,5,,
File,"DynamicTest.java",,22,,2,,
Public Class,"E",1,5,,1,1,0
Constructor,"E.E",,3,1,1,,
File,"E.java",,5,,1,,
File,"EJBDeploymentTool.java",,11,,0,,
File,"Ear.java",,74,,11,,
File,"Echo.java",,64,,16,,
File,"EchoLocation.java",,8,,1,,
File,"EchoProperties.java",,282,,55,,
File,"EchoPropertiesTest.java",,158,,23,,
File,"EchoTest.java",,63,,7,,
File,"EchoXML.java",,79,,15,,
File,"EchoXMLTest.java",,38,,5,,
File,"EjbJar.java",,234,,44,,
File,"Ellipse.java",,43,,8,,
File,"EmailAddress.java",,102,,26,,
File,"EmailAddressTest.java",,70,,16,,
File,"EmailTask.java",,321,,70,,
File,"EmailTaskTest.java",,22,,3,,
File,"EnableAttribute.java",,5,,0,,
File,"EnumeratedAttribute.java",,58,,14,,
File,"EnumeratedAttributeTest.java",,55,,9,,
File,"Enumerations.java",,46,,9,,
File,"Environment.java",,55,,15,,
File,"EqualComparator.java",,16,,5,,
File,"Equals.java",,71,,21,,
File,"EqualsTest.java",,30,,3,,
File,"ErrorInQuitException.java",,8,,1,,
File,"EscapeUnicode.java",,45,,9,,
File,"EscapeUnicodeTest.java",,24,,2,,
File,"Evaluable.java",,8,,1,,
Public Class,"ExampleTest",0,5,,1,2,0
File,"ExampleTest.java",,6,,1,,
Public Method,"ExampleTest.testHello",,3,1,1,,
File,"Exec.java",,159,,32,,
File,"ExecStreamRedirectorTest.java",,66,,7,,
File,"ExecTask.java",,344,,84,,
File,"ExecTaskTest.java",,124,,21,,
File,"ExecutableSelector.java",,8,,1,,
File,"Execute.java",,368,,87,,
File,"ExecuteJava.java",,216,,39,,
File,"ExecuteJavaTest.java",,85,,8,,
File,"ExecuteOn.java",,448,,99,,
File,"ExecuteStreamHandler.java",,11,,0,,
File,"ExecuteWatchdog.java",,69,,15,,
