Kind,Name,CountClassCoupled,CountLineCode,Cyclomatic,SumCyclomatic,PercentLackOfCohesion,MaxInheritanceTree
Public Class,"org.apache.tools.ant.AllJUnitTests",3,11,,2,0,2
Public Constructor,"org.apache.tools.ant.AllJUnitTests.AllJUnitTests",,3,1,1,,
Public Static Method,"org.apache.tools.ant.AllJUnitTests.suite",,6,1,1,,
Public Class,"org.apache.tools.ant.BuildEvent",3,50,,11,72,2
Public Constructor,"org.apache.tools.ant.BuildEvent.BuildEvent",,6,1,1,,
Public Constructor,"org.apache.tools.ant.BuildEvent.BuildEvent",,6,1,1,,
Public Constructor,"org.apache.tools.ant.BuildEvent.BuildEvent",,6,1,1,,
Public Method,"org.apache.tools.ant.BuildEvent.getException",,3,1,1,,
Public Method,"org.apache.tools.ant.BuildEvent.getMessage",,3,1,1,,
Public Method,"org.apache.tools.ant.BuildEvent.getPriority",,3,1,1,,
Public Method,"org.apache.tools.ant.BuildEvent.getProject",,3,1,1,,
Public Method,"org.apache.tools.ant.BuildEvent.getTarget",,3,1,1,,
Public Method,"org.apache.tools.ant.BuildEvent.getTask",,3,1,1,,
Public Method,"org.apache.tools.ant.BuildEvent.setException",,3,1,1,,
Public Method,"org.apache.tools.ant.BuildEvent.setMessage",,4,1,1,,
Public Class,"org.apache.tools.ant.BuildException",1,38,,10,60,2
Public Constructor,"org.apache.tools.ant.BuildException.BuildException",,3,1,1,,
Public Constructor,"org.apache.tools.ant.BuildException.BuildException",,4,1,1,,
Public Constructor,"org.apache.tools.ant.BuildException.BuildException",,4,1,1,,
Public Constructor,"org.apache.tools.ant.BuildException.BuildException",,4,1,1,,
Public Constructor,"org.apache.tools.ant.BuildException.BuildException",,3,1,1,,
Public Constructor,"org.apache.tools.ant.BuildException.BuildException",,4,1,1,,
Public Method,"org.apache.tools.ant.BuildException.getException",,3,1,1,,
Public Method,"org.apache.tools.ant.BuildException.getLocation",,3,1,1,,
Public Method,"org.apache.tools.ant.BuildException.setLocation",,3,1,1,,
Public Method,"org.apache.tools.ant.BuildException.toString",,3,1,1,,
Public Interface,"org.apache.tools.ant.BuildListener",1,8,,0,0,2
Public Abstract Method,"org.apache.tools.ant.BuildListener.buildFinished",,1,0,0,,
Public Abstract Method,"org.apache.tools.ant.BuildListener.buildStarted",,1,0,0,,
Public Abstract Method,"org.apache.tools.ant.BuildListener.messageLogged",,1,0,0,,
Public Abstract Method,"org.apache.tools.ant.BuildListener.targetFinished",,1,0,0,,
Public Abstract Method,"org.apache.tools.ant.BuildListener.targetStarted",,1,0,0,,
Public Abstract Method,"org.apache.tools.ant.BuildListener.taskFinished",,1,0,0,,
Public Abstract Method,"org.apache.tools.ant.BuildListener.taskStarted",,1,0,0,,
Public Class,"org.apache.tools.ant.DefaultLogger",5,65,,17,72,1
Public Constructor,"org.apache.tools.ant.DefaultLogger.DefaultLogger",,4,1,1,,
Public Method,"org.apache.tools.ant.DefaultLogger.buildFinished",,20,4,4,,
Public Method,"org.apache.tools.ant.DefaultLogger.buildStarted",,3,1,1,,
Private Static Method,"org.apache.tools.ant.DefaultLogger.formatTime",,10,2,2,,
Public Method,"org.apache.tools.ant.DefaultLogger.messageLogged",,13,4,4,,
Public Method,"org.apache.tools.ant.DefaultLogger.targetFinished",,2,1,1,,
Public Method,"org.apache.tools.ant.DefaultLogger.targetStarted",,5,2,2,,
Public Method,"org.apache.tools.ant.DefaultLogger.taskFinished",,1,1,1,,
Public Method,"org.apache.tools.ant.DefaultLogger.taskStarted",,1,1,1,,
Public Class,"org.apache.tools.ant.DesirableFilter",0,20,,6,0,1
Public Method,"org.apache.tools.ant.DesirableFilter.accept",,18,6,6,,
Public Class,"org.apache.tools.ant.DirectoryScanner",0,390,,103,84,1
Public Constructor,"org.apache.tools.ant.DirectoryScanner.DirectoryScanner",,2,1,1,,
Public Method,"org.apache.tools.ant.DirectoryScanner.addDefaultExcludes",,12,4,4,,
Public Method,"org.apache.tools.ant.DirectoryScanner.getBasedir",,3,1,1,,
