Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT
ant1.1,org.apache.tools.ant,Task,6,0,15,13,108,15,1,0,0.5333333333333333,5,3
ant1.1,org.apache.tools.ant,TaskAdapter,1,0,3,3,36,4,0,1,0.0,1,1
ant1.1,org.apache.tools.ant,XmlLogger,17,0,11,8,169,27,0,1,0.2727272727272727,1,3
ant1.1,org.apache.tools.ant,AllJUnitTests,0,0,2,2,15,2,0,0,-1.0,0,0
ant1.1,org.apache.tools.ant,EnumeratedAttributeTest,1,0,5,5,55,7,0,0,0.6,0,1
ant1.1,org.apache.tools.ant,TestNormal,0,0,1,1,5,1,0,1,-1.0,0,0
ant1.1,org.apache.tools.ant,TestNull,0,0,1,1,5,1,0,1,-1.0,0,0
ant1.1,org.apache.tools.ant,IntrospectionHelperTest,0,0,37,37,352,37,0,0,-1.0,0,2
ant1.1,org.apache.tools.ant,PathTest,1,1,6,6,135,13,0,0,0.8333333333333334,0,1
ant1.1,org.apache.tools.ant.taskdefs,Ant,6,0,7,7,81,15,0,0,0.0,0,1
ant1.1,org.apache.tools.ant.taskdefs,AntStructure,3,0,6,2,76,11,0,0,0.6666666666666666,0,0
ant1.1,org.apache.tools.ant.taskdefs,Available,4,0,9,6,55,12,0,0,0.0,0,0
ant1.1,org.apache.tools.ant.taskdefs,Chmod,3,0,6,5,49,11,0,1,0.0,0,0
ant1.1,org.apache.tools.ant.taskdefs,CompileTask,1,0,3,3,37,5,0,2,0.6666666666666666,0,2
ant1.1,org.apache.tools.ant.taskdefs,Copydir,5,0,6,5,46,10,0,1,0.3333333333333333,0,0
ant1.1,org.apache.tools.ant.taskdefs,Copyfile,3,0,4,4,29,5,0,0,0.0,0,0
ant1.1,org.apache.tools.ant.taskdefs,Cvs,7,0,9,9,59,18,0,1,0.2222222222222222,0,0
ant1.1,org.apache.tools.ant.taskdefs,Delete,3,0,4,4,78,16,0,1,0.5,0,0
ant1.1,org.apache.tools.ant.taskdefs,Deltree,1,0,3,2,45,10,0,0,0.0,0,0
ant1.1,org.apache.tools.ant.taskdefs,Echo,1,0,2,2,21,2,0,0,0.0,0,0
ant1.1,org.apache.tools.ant.taskdefs,Exec,12,0,12,9,145,27,4,0,0.0,3,1
ant1.1,org.apache.tools.ant.taskdefs,StreamPumper,5,0,3,3,39,6,0,0,0.0,0,1
ant1.1,org.apache.tools.ant.taskdefs,Expand,2,0,3,3,83,9,0,0,0.0,0,1
ant1.1,org.apache.tools.ant.taskdefs,Filter,2,0,3,3,17,3,0,0,0.0,0,0
ant1.1,org.apache.tools.ant.taskdefs,FixCRLF,6,0,9,9,221,50,0,1,0.2222222222222222,0,1
ant1.1,org.apache.tools.ant.taskdefs,AddAsisRemove,0,0,1,1,8,1,0,0,-1.0,1,0
ant1.1,org.apache.tools.ant.taskdefs,Get,4,0,5,5,85,12,0,0,0.0,0,0
ant1.1,org.apache.tools.ant.taskdefs,GUnzip,2,0,3,3,74,13,0,0,0.0,0,0
ant1.1,org.apache.tools.ant.taskdefs,GZip,2,0,5,3,59,8,0,0,0.0,0,0
ant1.1,org.apache.tools.ant.taskdefs,Jar,1,0,5,2,36,9,0,2,0.6,0,0
ant1.1,org.apache.tools.ant.taskdefs,Java,5,0,12,9,156,24,0,1,0.0,1,0
ant1.1,org.apache.tools.ant.taskdefs,Javac,13,0,24,16,430,81,1,1,0.125,0,0
ant1.1,org.apache.tools.ant.taskdefs,JarFilenameFilter,0,0,1,1,5,1,0,0,-1.0,0,0
ant1.1,org.apache.tools.ant.taskdefs,JavacOutputStream,3,0,4,1,47,7,0,0,0.0,0,0
ant1.1,org.apache.tools.ant.taskdefs,Javadoc,57,0,84,77,771,204,0,1,0.17857142857142858,0,4
ant1.1,org.apache.tools.ant.taskdefs,DocletParam,2,0,4,4,16,4,0,0,0.5,2,0
ant1.1,org.apache.tools.ant.taskdefs,DocletInfo,3,0,7,7,36,9,0,0,0.42857142857142855,1,1
ant1.1,org.apache.tools.ant.taskdefs,LinkArgument,3,0,7,7,25,7,0,0,0.5714285714285714,1,0
ant1.1,org.apache.tools.ant.taskdefs,GroupArgument,2,0,5,5,18,5,0,0,0.6,1,0
ant1.1,org.apache.tools.ant.taskdefs,JavaReader,0,0,4,4,72,23,0,0,-1.0,0,0
ant1.1,org.apache.tools.ant.taskdefs,Jikes,2,0,2,0,35,2,0,0,0.0,0,1
ant1.1,org.apache.tools.ant.taskdefs,JikesOutputParser,6,0,7,0,62,15,0,0,0.0,1,0
ant1.1,org.apache.tools.ant.taskdefs,KeySubst,4,0,7,7,118,14,0,0,0.0,1,1
ant1.1,org.apache.tools.ant.taskdefs,MatchingTask,5,0,18,13,198,40,10,0,0.1111111111111111,1,1
ant1.1,org.apache.tools.ant.taskdefs,NameEntry,2,0,4,4,19,6,0,0,0.0,1,0
ant1.1,org.apache.tools.ant.taskdefs,Mkdir,1,0,2,2,21,4,0,0,0.0,0,0
ant1.1,org.apache.tools.ant.taskdefs,Patch,7,0,9,9,89,18,0,1,0.2222222222222222,0,0
ant1.1,org.apache.tools.ant.taskdefs,Property,5,0,14,8,160,33,0,0,0.0,1,0
ant1.1,org.apache.tools.ant.taskdefs,Rename,3,0,4,4,44,7,0,0,0.0,0,0
ant1.1,org.apache.tools.ant.taskdefs,Replace,4,0,7,5,101,17,0,1,0.0,0,0
ant1.1,org.apache.tools.ant.taskdefs,Rmic,8,0,16,10,267,58,0,1,0.0,0,0
ant1.1,org.apache.tools.ant.taskdefs,SignJar,11,0,12,12,126,25,0,0,0.0,0,1
ant1.1,org.apache.tools.ant.taskdefs,Tar,2,0,4,3,74,9,0,1,0.0,0,0
ant1.1,org.apache.tools.ant.taskdefs,Taskdef,2,0,5,5,40,6,0,0,0.0,1,0
ant1.1,org.apache.tools.ant.taskdefs,TaskOutputStream,3,0,3,1,39,5,0,0,0.0,0,0
ant1.1,org.apache.tools.ant.taskdefs,Touch,5,0,5,4,101,13,0,0,0.0,2,0
ant1.1,org.apache.tools.ant.taskdefs,Tstamp,0,0,1,1,21,1,0,0,-1.0,0,0
ant1.1,org.apache.tools.ant.taskdefs,Untar,2,0,3,3,87,11,0,0,0.0,0,1
ant1.1,org.apache.tools.ant.taskdefs,XSLTLiaison,0,0,2,2,8,2,0,0,-1.0,1,0
ant1.1,org.apache.tools.ant.taskdefs,XSLTProcess,5,0,8,7,128,18,0,1,0.25,0,1
